name,wiki_uri,s,wikidata,wiki_name
Pfaff,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86819684')],https://hdl.handle.net/20.500.11840/pi63580,http://www.wikidata.org/entity/Q86819684,"[rdflib.term.Literal('Pfaff', lang='en'), rdflib.term.Literal('Pfaff', lang='nl'), rdflib.term.Literal('Pfaff', lang='sq')]"
H. Philips,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q83287520')],https://hdl.handle.net/20.500.11840/pi63581,http://www.wikidata.org/entity/Q83287520,"[rdflib.term.Literal('H. Philips', lang='de'), rdflib.term.Literal('H. Philips', lang='en'), rdflib.term.Literal('H. Philips', lang='es'), rdflib.term.Literal('H. Philips', lang='fr'), rdflib.term.Literal('H. Philips', lang='it'), rdflib.term.Literal('H. Philips', lang='nl'), rdflib.term.Literal('H. Philips', lang='sq')]"
Lilian Philips,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q76089224'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q97400057')]",https://hdl.handle.net/20.500.11840/pi63582,http://www.wikidata.org/entity/Q76089224,"[rdflib.term.Literal('লিলিয়ান ফিলিপস', lang='bn'), rdflib.term.Literal('Lilian Philips', lang='en'), rdflib.term.Literal('Lilian Philips', lang='nl')]"
Cor v.d. Plas,[],https://hdl.handle.net/20.500.11840/pi63589,http://www.wikidata.org/entity/Q86739414,"[rdflib.term.Literal('Cor vd Plas', lang='en'), rdflib.term.Literal('Cor van der Plas', lang='nl'), rdflib.term.Literal('Cor vd Plas', lang='sq')]"
Zeshin (Cor) vd  Plas,[],https://hdl.handle.net/20.500.11840/pi63590,http://www.wikidata.org/entity/Q86739417,[]
B.P.H. Poeroebojo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739419')],https://hdl.handle.net/20.500.11840/pi63592,http://www.wikidata.org/entity/Q86739419,"[rdflib.term.Literal('B.P.H. Poeroebojo', lang='en'), rdflib.term.Literal('B.P.H. Poeroebojo', lang='nl'), rdflib.term.Literal('B.P.H. Poeroebojo', lang='sq')]"
Willem van de Poll,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2265355'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q59667776'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q106799873')]",https://hdl.handle.net/20.500.11840/pi63594,http://www.wikidata.org/entity/Q2265355,"[rdflib.term.Literal('Willem van de Poll', lang='jut'), rdflib.term.Literal('Willem van de Poll', lang='sje'), rdflib.term.Literal('Willem van de Poll', lang='de'), rdflib.term.Literal('Willem van de Poll', lang='en'), rdflib.term.Literal('Willem van de Poll', lang='fr'), rdflib.term.Literal('Willem van de Poll', lang='nl'), rdflib.term.Literal('Willem van de Poll', lang='an'), rdflib.term.Literal('Willem van de Poll', lang='ast'), rdflib.term.Literal('Willem van de Poll', lang='cs'), rdflib.term.Literal('Willem van de Poll', lang='cy'), rdflib.term.Literal('Willem van de Poll', lang='de-at'), rdflib.term.Literal('Willem van de Poll', lang='de-ch'), rdflib.term.Literal('Willem van de Poll', lang='en-ca'), rdflib.term.Literal('Willem van de Poll', lang='en-gb'), rdflib.term.Literal('Willem van de Poll', lang='es'), rdflib.term.Literal('Willem van de Poll', lang='et'), rdflib.term.Literal('Willem van de Poll', lang='fi'), rdflib.term.Literal('Willem van de Poll', lang='ga'), rdflib.term.Literal('Willem van de Poll', lang='gl'), rdflib.term.Literal('Willem van de Poll', lang='io'), rdflib.term.Literal('Willem van de Poll', lang='nb'), rdflib.term.Literal('Willem van de Poll', lang='nn'), rdflib.term.Literal('Willem van de Poll', lang='pl'), rdflib.term.Literal('Willem van de Poll', lang='pms'), rdflib.term.Literal('Willem van de Poll', lang='ro'), rdflib.term.Literal('Willem van de Poll', lang='sc'), rdflib.term.Literal('Willem van de Poll', lang='sco'), rdflib.term.Literal('Willem van de Poll', lang='sl'), rdflib.term.Literal('Willem Van de Poll', lang='ca'), rdflib.term.Literal('Willem Van de Poll', lang='da'), rdflib.term.Literal('וילם ון דה פול', lang='he'), rdflib.term.Literal('Willem Van de Poll', lang='it'), rdflib.term.Literal('Willem van de Poll', lang='lt'), rdflib.term.Literal('Willem Van de Poll', lang='pt'), rdflib.term.Literal('Willem Van de Poll', lang='pt-br'), rdflib.term.Literal('Willem van de Poll', lang='sq'), rdflib.term.Literal('Willem Van de Poll', lang='sv')]"
J. Pollak,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739456')],https://hdl.handle.net/20.500.11840/pi63595,http://www.wikidata.org/entity/Q86739456,"[rdflib.term.Literal('J. Pollak', lang='en'), rdflib.term.Literal('J. Pollak', lang='nl'), rdflib.term.Literal('J. Pollak', lang='sq')]"
Pons,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q75620283'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q106639981')]",https://hdl.handle.net/20.500.11840/pi63598,http://www.wikidata.org/entity/Q86819686,"[rdflib.term.Literal('Pons Ir', lang='en'), rdflib.term.Literal('Pons Ir', lang='nl'), rdflib.term.Literal('Pons Ir', lang='sq')]"
Merle Porter,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739459')],https://hdl.handle.net/20.500.11840/pi63599,http://www.wikidata.org/entity/Q86739459,"[rdflib.term.Literal('Merle Porter', lang='ast'), rdflib.term.Literal('Merle Porter', lang='en'), rdflib.term.Literal('Merle Porter', lang='nl'), rdflib.term.Literal('Merle Porter', lang='sq')]"
