name,wiki_uri,s,wikidata,wiki_name
Gabriel Clark-Brown,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82570739')],https://hdl.handle.net/20.500.11840/pi1008,http://www.wikidata.org/entity/Q82570739,"[rdflib.term.Literal('Gabriel Clark-Brown', lang='en'), rdflib.term.Literal('Gabriel Clark-Brown', lang='nl')]"
Coenraad-Uhlig,[],https://hdl.handle.net/20.500.11840/pi1020,http://www.wikidata.org/entity/Q86817941,"[rdflib.term.Literal('Vera Coenraad-Uhlig', lang='en'), rdflib.term.Literal('Vera Coenraad-Uhlig', lang='nl')]"
Dhr. W. Coolhaas,[],https://hdl.handle.net/20.500.11840/pi1034,http://www.wikidata.org/entity/Q82570803,"[rdflib.term.Literal('W. Coolhaas', lang='en'), rdflib.term.Literal('W. Coolhaas', lang='nl')]"
Dhr. H. Cooymans,[],https://hdl.handle.net/20.500.11840/pi1036,http://www.wikidata.org/entity/Q86735049,"[rdflib.term.Literal('H. Cooymans', lang='en'), rdflib.term.Literal('H. Cooymans', lang='nl')]"
Prof.dr. L.Ph. (Louis Philibert) le Cosquino de Bussy,[],https://hdl.handle.net/20.500.11840/pi1049,http://www.wikidata.org/entity/Q55022277,"[rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='ast'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ca'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='cy'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='da'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='de'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='en'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='es'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='fi'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='fr'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ga'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='it'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nb'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nl'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pt'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pt-br'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='ro'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sc'), rdflib.term.Literal('Louis Philibert Le Cosquino de Bussy', lang='sq'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sv'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='an'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='de-at'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='de-ch'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='gl'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='io'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='jut'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='nn'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='pms'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sco'), rdflib.term.Literal('Louis Philibert le Cosquino de Bussy', lang='sje')]"
Drs. F.M. (Frits) Cowan,[],https://hdl.handle.net/20.500.11840/pi1054,http://www.wikidata.org/entity/Q82570805,"[rdflib.term.Literal('Frits Cowan', lang='en'), rdflib.term.Literal('Frits Cowan', lang='nl')]"
Mr. P. Creutzberg,[],https://hdl.handle.net/20.500.11840/pi1067,http://www.wikidata.org/entity/Q82570815,"[rdflib.term.Literal('Piet Creutzberg', lang='ast'), rdflib.term.Literal('Piet Creutzberg', lang='en-ca'), rdflib.term.Literal('Piet Creutzberg', lang='es'), rdflib.term.Literal('Piet Creutzberg', lang='fr'), rdflib.term.Literal('Piet Creutzberg', lang='pt'), rdflib.term.Literal('Piet Creutzberg', lang='pt-br'), rdflib.term.Literal('Piet Creutzberg', lang='ca'), rdflib.term.Literal('Piet Creutzberg', lang='en-gb'), rdflib.term.Literal('Piet Creutzberg', lang='it'), rdflib.term.Literal('Piet Creutzberg', lang='en'), rdflib.term.Literal('Piet Creutzberg', lang='nl'), rdflib.term.Literal('Piet Creutzberg', lang='sq')]"
H.T. (Henri Titus) DamstÃ©,[],https://hdl.handle.net/20.500.11840/pi1095,http://www.wikidata.org/entity/Q75288654,"[rdflib.term.Literal('Henri Titus Damsté', lang='ast'), rdflib.term.Literal('Henri Titus Damsté', lang='ca'), rdflib.term.Literal('Henri Titus Damsté', lang='cy'), rdflib.term.Literal('Henri Titus Damsté', lang='da'), rdflib.term.Literal('Henri Titus Damsté', lang='de'), rdflib.term.Literal('Henri Titus Damsté', lang='en'), rdflib.term.Literal('Henri Titus Damsté', lang='es'), rdflib.term.Literal('Henri Titus Damsté', lang='fi'), rdflib.term.Literal('Henri Titus Damsté', lang='fr'), rdflib.term.Literal('Henri Titus Damsté', lang='ga'), rdflib.term.Literal('Henri Titus Damsté', lang='it'), rdflib.term.Literal('Henri Titus Damsté', lang='nb'), rdflib.term.Literal('Henri Titus Damsté', lang='nl'), rdflib.term.Literal('Henri Titus Damsté', lang='pt'), rdflib.term.Literal('Henri Titus Damsté', lang='pt-br'), rdflib.term.Literal('Henri Titus Damsté', lang='ro'), rdflib.term.Literal('Henri Titus Damsté', lang='sc'), rdflib.term.Literal('Henri Titus Damste', lang='sq'), rdflib.term.Literal('Henri Titus Damsté', lang='sv')]"
K. ( Kanlanfei) Danaye,[],https://hdl.handle.net/20.500.11840/pi1097,http://www.wikidata.org/entity/Q86735052,"[rdflib.term.Literal('Kantafei Danaye', lang='en'), rdflib.term.Literal('Kantafei Danaye', lang='nl')]"
A. (Agus) Djaya,[],https://hdl.handle.net/20.500.11840/pi1157,http://www.wikidata.org/entity/Q15309706,"[rdflib.term.Literal('Agus Djaya', lang='dag'), rdflib.term.Literal('Raden Agus Djaya', lang='ca'), rdflib.term.Literal('Raden Agus Djaya', lang='da'), rdflib.term.Literal('Raden Agus Djaya', lang='it'), rdflib.term.Literal('Raden Agus Djaya', lang='pt'), rdflib.term.Literal('Raden Agus Djaya', lang='sv'), rdflib.term.Literal('Raden Agus Djaya', lang='pt-br'), rdflib.term.Literal('Agus Djaya', lang='ast'), rdflib.term.Literal('Agus Djaya', lang='de'), rdflib.term.Literal('Agus Djaya', lang='en'), rdflib.term.Literal('Agus Djaya', lang='es'), rdflib.term.Literal('Agus Djaya', lang='fr'), rdflib.term.Literal('Agus Djaya', lang='ga'), rdflib.term.Literal('Agus Djaya', lang='id'), rdflib.term.Literal('Agus Djaya', lang='nl'), rdflib.term.Literal('Agus Djaya', lang='sq'), rdflib.term.Literal('Agus Djaya', lang='su')]"
P. (Petrus) Drabbe,[],https://hdl.handle.net/20.500.11840/pi1190,http://www.wikidata.org/entity/Q2485764,"[rdflib.term.Literal('Petrus Drabbe', lang='an'), rdflib.term.Literal('Petrus Drabbe', lang='ast'), rdflib.term.Literal('Petrus Drabbe', lang='cy'), rdflib.term.Literal('Petrus Drabbe', lang='de-at'), rdflib.term.Literal('Petrus Drabbe', lang='de-ch'), rdflib.term.Literal('Petrus Drabbe', lang='en-ca'), rdflib.term.Literal('Petrus Drabbe', lang='en-gb'), rdflib.term.Literal('Petrus Drabbe', lang='et'), rdflib.term.Literal('Petrus Drabbe', lang='eu'), rdflib.term.Literal('Petrus Drabbe', lang='fi'), rdflib.term.Literal('Petrus Drabbe', lang='ga'), rdflib.term.Literal('Petrus Drabbe', lang='gl'), rdflib.term.Literal('Petrus Drabbe', lang='io'), rdflib.term.Literal('Petrus Drabbe', lang='jut'), rdflib.term.Literal('Petrus Drabbe', lang='pms'), rdflib.term.Literal('Petrus Drabbe', lang='pt'), rdflib.term.Literal('Petrus Drabbe', lang='pt-br'), rdflib.term.Literal('Petrus Drabbe', lang='ro'), rdflib.term.Literal('Petrus Drabbe', lang='sc'), rdflib.term.Literal('Petrus Drabbe', lang='sco'), rdflib.term.Literal('Petrus Drabbe', lang='sje'), rdflib.term.Literal('پيتروس دراب', lang='arz'), rdflib.term.Literal('Peter Drabbe', lang='ca'), rdflib.term.Literal('Petrus Drabbe', lang='da'), rdflib.term.Literal('Petrus Drabbe', lang='de'), rdflib.term.Literal('Petrus Drabbe', lang='en'), rdflib.term.Literal('Petrus Drabbe', lang='es'), rdflib.term.Literal('Peter Drabbe', lang='fr'), rdflib.term.Literal('Piet Drabbe', lang='it'), rdflib.term.Literal('Petrus Drabbe', lang='nb'), rdflib.term.Literal('Petrus Drabbe', lang='nl'), rdflib.term.Literal('Petrus Drabbe', lang='nn'), rdflib.term.Literal('Petrus Drabbe', lang='sl'), rdflib.term.Literal('Petrus Drabbe', lang='sq'), rdflib.term.Literal('Petrus Drabbe', lang='sv')]"
P.L. Dronkers,[],https://hdl.handle.net/20.500.11840/pi1197,http://www.wikidata.org/entity/Q82571047,"[rdflib.term.Literal('P.L. Dronkers', lang='en'), rdflib.term.Literal('Pieter Leendert Dronkers', lang='nl')]"
Prof. Dr. J.C. (Johan Christiaan) van Eerde,[],https://hdl.handle.net/20.500.11840/pi1241,http://www.wikidata.org/entity/Q2236463,"[rdflib.term.Literal('Johan van Eerde', lang='an'), rdflib.term.Literal('Johan van Eerde', lang='de-at'), rdflib.term.Literal('Johan van Eerde', lang='de-ch'), rdflib.term.Literal('Johan van Eerde', lang='gl'), rdflib.term.Literal('Johan van Eerde', lang='io'), rdflib.term.Literal('Johan van Eerde', lang='jut'), rdflib.term.Literal('Johan van Eerde', lang='nn'), rdflib.term.Literal('Johan van Eerde', lang='pms'), rdflib.term.Literal('Johan van Eerde', lang='sco'), rdflib.term.Literal('Johan van Eerde', lang='sje'), rdflib.term.Literal('Johan van Eerde', lang='ast'), rdflib.term.Literal('Johan van Eerde', lang='ca'), rdflib.term.Literal('Johan van Eerde', lang='cy'), rdflib.term.Literal('Johan van Eerde', lang='da'), rdflib.term.Literal('Johan van Eerde', lang='de'), rdflib.term.Literal('Johan van Eerde', lang='en'), rdflib.term.Literal('Johan van Eerde', lang='en-ca'), rdflib.term.Literal('Johan van Eerde', lang='en-gb'), rdflib.term.Literal('Johan van Eerde', lang='es'), rdflib.term.Literal('Johan van Eerde', lang='fi'), rdflib.term.Literal('Johan van Eerde', lang='fr'), rdflib.term.Literal('Johan van Eerde', lang='fy'), rdflib.term.Literal('Johan van Eerde', lang='ga'), rdflib.term.Literal('Johan Christiaan van Eerde', lang='id'), rdflib.term.Literal('Johan Christiaan van Eerde', lang='it'), rdflib.term.Literal('Johan van Eerde', lang='nb'), rdflib.term.Literal('Johan van Eerde', lang='nl'), rdflib.term.Literal('Johan Christiaan van Eerde', lang='pap'), rdflib.term.Literal('Johan van Eerde', lang='pt'), rdflib.term.Literal('Johan van Eerde', lang='pt-br'), rdflib.term.Literal('Johan van Eerde', lang='ro'), rdflib.term.Literal('Johan van Eerde', lang='sc'), rdflib.term.Literal('Johan van Eerde', lang='sl'), rdflib.term.Literal('Johan van Eerde', lang='sq'), rdflib.term.Literal('Johan Christiaan van Eerde', lang='srn'), rdflib.term.Literal('Johan Christiaan van Eerde', lang='sv')]"
Th. (Theodoor) van Erp,[],https://hdl.handle.net/20.500.11840/pi1293,http://www.wikidata.org/entity/Q2759953,"[rdflib.term.Literal('Theodoor van Erp', lang='an'), rdflib.term.Literal('Theodoor van Erp', lang='cy'), rdflib.term.Literal('Theodoor van Erp', lang='de-at'), rdflib.term.Literal('Theodoor van Erp', lang='de-ch'), rdflib.term.Literal('Theodoor van Erp', lang='ga'), rdflib.term.Literal('Theodoor van Erp', lang='gl'), rdflib.term.Literal('Theodoor van Erp', lang='io'), rdflib.term.Literal('Theodoor van Erp', lang='jut'), rdflib.term.Literal('Theodoor van Erp', lang='nn'), rdflib.term.Literal('Theodoor van Erp', lang='pms'), rdflib.term.Literal('Theodoor van Erp', lang='ro'), rdflib.term.Literal('Theodoor van Erp', lang='sc'), rdflib.term.Literal('Theodoor van Erp', lang='sco'), rdflib.term.Literal('Theodoor van Erp', lang='sje'), rdflib.term.Literal('西奧多·範厄普', lang='zh'), rdflib.term.Literal('Theodoor van Erp', lang='ast'), rdflib.term.Literal('Theodoor van Erp', lang='ca'), rdflib.term.Literal('Theodoor van Erp', lang='da'), rdflib.term.Literal('Theodoor van Erp', lang='de'), rdflib.term.Literal('Theodoor van Erp', lang='en'), rdflib.term.Literal('Theodoor van Erp', lang='es'), rdflib.term.Literal('Theodoor van Erp', lang='fi'), rdflib.term.Literal('Theodoor van Erp', lang='fr'), rdflib.term.Literal('Theodoor van Erp', lang='it'), rdflib.term.Literal('テオドール・ファン・エルプ', lang='ja'), rdflib.term.Literal('Theodoor van Erp', lang='nb'), rdflib.term.Literal('Theodoor van Erp', lang='nl'), rdflib.term.Literal('Theodoor van Erp', lang='pap'), rdflib.term.Literal('Theodoor van Erp', lang='pt'), rdflib.term.Literal('Theodoor van Erp', lang='pt-br'), rdflib.term.Literal('Theodoor van Erp', lang='sl'), rdflib.term.Literal('Theodoor van Erp', lang='sq'), rdflib.term.Literal('Theodoor van Erp', lang='sv')]"
H.J. van Erpen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735056')],https://hdl.handle.net/20.500.11840/pi1294,http://www.wikidata.org/entity/Q86735056,"[rdflib.term.Literal('H.J. van Erpen', lang='en'), rdflib.term.Literal('H.J. van Erpen', lang='nl')]"
E.C.H. (Lily) Eversdijk Smulders,[],https://hdl.handle.net/20.500.11840/pi1304,http://www.wikidata.org/entity/Q43266508,"[rdflib.term.Literal('Lily Eversdijk Smulders', lang='an'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='cy'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='de-at'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='de-ch'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='fi'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='ga'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='gl'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='io'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='jut'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='nb'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='nn'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='pms'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='ro'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='sc'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='sco'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='sje'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='ast'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='ca'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='da'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='de'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='en'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='es'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='fr'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='it'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='nl'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='pap'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='pt'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='pt-br'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='sq'), rdflib.term.Literal('Lily Eversdijk Smulders', lang='sv')]"
P. (Paul) Faber,[],https://hdl.handle.net/20.500.11840/pi1315,http://www.wikidata.org/entity/Q82571220,"[rdflib.term.Literal('Paul Faber', lang='en-ca'), rdflib.term.Literal('Paul Faber', lang='en-gb'), rdflib.term.Literal('Paul Faber', lang='en'), rdflib.term.Literal('Paul Faber', lang='fr'), rdflib.term.Literal('Paul Faber', lang='it'), rdflib.term.Literal('Paul Faber', lang='nl'), rdflib.term.Literal('Paul Faber', lang='pt'), rdflib.term.Literal('Paul Faber', lang='pt-br')]"
Dr. H. (Hans) Feriz,[],https://hdl.handle.net/20.500.11840/pi1337,http://www.wikidata.org/entity/Q2220129,"[rdflib.term.Literal('Hans Feriz', lang='ast'), rdflib.term.Literal('Hans Feriz', lang='de'), rdflib.term.Literal('Hans Feriz', lang='en'), rdflib.term.Literal('Hans Feriz', lang='es'), rdflib.term.Literal('Hans Feriz', lang='it'), rdflib.term.Literal('Hans Feriz', lang='nl'), rdflib.term.Literal('Hans Feriz', lang='sq')]"
M. (Max) Fleischer,[],https://hdl.handle.net/20.500.11840/pi1347,http://www.wikidata.org/entity/Q11771859,"[rdflib.term.Literal('Max Fleischer', lang='sk'), rdflib.term.Literal('Max Fleischer', lang='ca'), rdflib.term.Literal('Max Fleischer', lang='cs'), rdflib.term.Literal('Max Fleischer', lang='en'), rdflib.term.Literal('Max Fleischer', lang='es'), rdflib.term.Literal('Max Fleischer', lang='nl'), rdflib.term.Literal('マックス・フライシャー', lang='ja'), rdflib.term.Literal('Max Fleischer', lang='ast'), rdflib.term.Literal('Max Fleischer', lang='de'), rdflib.term.Literal('Max Fleischer', lang='fr'), rdflib.term.Literal('Max Fleischer', lang='sl'), rdflib.term.Literal('Max Fleischer', lang='sq'), rdflib.term.Literal('Max Fleischer', lang='da'), rdflib.term.Literal('Max Fleischer', lang='fi'), rdflib.term.Literal('מקס פליישר', lang='he'), rdflib.term.Literal('Max Fleischer', lang='it'), rdflib.term.Literal('Max Fleischer', lang='nb'), rdflib.term.Literal('Max Fleischer', lang='pt'), rdflib.term.Literal('Max Fleischer', lang='pt-br'), rdflib.term.Literal('Max Fleischer', lang='sv'), rdflib.term.Literal('ماكس فليشر', lang='ar'), rdflib.term.Literal('Max Fleischer', lang='id'), rdflib.term.Literal('Max Fleischer (ur. 1861)', lang='pl'), rdflib.term.Literal('Макс Фляйшер', lang='ru')]"
Ir. H.G. (Henk) van der Flier,[],https://hdl.handle.net/20.500.11840/pi1350,http://www.wikidata.org/entity/Q82571287,"[rdflib.term.Literal('Hendrik Gerardus van der Flier', lang='es'), rdflib.term.Literal('Hendrik Gerardus van der Flier', lang='en'), rdflib.term.Literal('Gerard van der Flier', lang='nl'), rdflib.term.Literal('Hendrik Gerardus van der Flier', lang='sq')]"
Drs. F.W.M. (Frans) Fontaine,[],https://hdl.handle.net/20.500.11840/pi1363,http://www.wikidata.org/entity/Q84593373,"[rdflib.term.Literal('Frans Fontaine', lang='en'), rdflib.term.Literal('Frans Fontaine', lang='nl')]"
H.D. (Hieronijmus David) Fraenkel,[],https://hdl.handle.net/20.500.11840/pi1369,http://www.wikidata.org/entity/Q60238568,"[rdflib.term.Literal('Hieronymus D. Fraenkl', lang='ast'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='ca'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='da'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='de'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='en'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='es'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='fr'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='it'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='nl'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='pt'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='pt-br'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='sq'), rdflib.term.Literal('Hieronymus D. Fraenkl', lang='sv')]"
Prof. Th.P. (Theodoor Paul) Galestin,[],https://hdl.handle.net/20.500.11840/pi1399,http://www.wikidata.org/entity/Q65851085,"[rdflib.term.Literal('Theodoor Paul Galestin', lang='ast'), rdflib.term.Literal('Theo Galestin', lang='ca'), rdflib.term.Literal('Theo Galestin', lang='cy'), rdflib.term.Literal('Theo Galestin', lang='da'), rdflib.term.Literal('Theo Galestin', lang='de'), rdflib.term.Literal('Theodoor Paul Galestin', lang='en'), rdflib.term.Literal('Theodoor Paul Galestin', lang='es'), rdflib.term.Literal('Theo Galestin', lang='fi'), rdflib.term.Literal('Theo Galestin', lang='fr'), rdflib.term.Literal('Theo Galestin', lang='ga'), rdflib.term.Literal('Theo Galestin', lang='it'), rdflib.term.Literal('Theo Galestin', lang='nb'), rdflib.term.Literal('Theo Galestin', lang='nl'), rdflib.term.Literal('Theo Galestin', lang='pt'), rdflib.term.Literal('Theo Galestin', lang='pt-br'), rdflib.term.Literal('Theo Galestin', lang='ro'), rdflib.term.Literal('Theo Galestin', lang='sc'), rdflib.term.Literal('Theodoor Paul Galestin', lang='sq'), rdflib.term.Literal('Theo Galestin', lang='sv')]"
W. Galjaard,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735059')],https://hdl.handle.net/20.500.11840/pi1401,http://www.wikidata.org/entity/Q86735059,"[rdflib.term.Literal('W. Galjaard', lang='en'), rdflib.term.Literal('W. Galjaard', lang='nl')]"
Ir. D.G. Geyskes,[],https://hdl.handle.net/20.500.11840/pi1439,http://www.wikidata.org/entity/Q2415208,"[rdflib.term.Literal('Dirk Cornelis Geijskes', lang='an'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='cy'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='de-at'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='de-ch'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='fi'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='ga'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='gl'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='io'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='jut'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='pms'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='pt'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='pt-br'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='ro'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sc'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sco'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sje'), rdflib.term.Literal('Dick Geijskes', lang='en'), rdflib.term.Literal('Dick Geijskes', lang='nl'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='ace'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='ast'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='ca'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='da'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='de'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='es'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='fr'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='id'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='it'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='nb'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='nn'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sl'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sq'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='sv'), rdflib.term.Literal('Dirk Cornelis Geijskes', lang='zea')]"
H. Groeneveldt,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q36573311'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593426')]",https://hdl.handle.net/20.500.11840/pi1516,http://www.wikidata.org/entity/Q84593426,"[rdflib.term.Literal('H. Groeneveldt', lang='en'), rdflib.term.Literal('H. Groeneveldt', lang='nl')]"
C.M.A. (Carel) Groenevelt,[],https://hdl.handle.net/20.500.11840/pi1517,http://www.wikidata.org/entity/Q2600520,"[rdflib.term.Literal('Carel Groenevelt', lang='an'), rdflib.term.Literal('Carel Groenevelt', lang='cy'), rdflib.term.Literal('Carel Groenevelt', lang='de-at'), rdflib.term.Literal('Carel Groenevelt', lang='de-ch'), rdflib.term.Literal('Carel Groenevelt', lang='fi'), rdflib.term.Literal('Carel Groenevelt', lang='ga'), rdflib.term.Literal('Carel Groenevelt', lang='gl'), rdflib.term.Literal('Carel Groenevelt', lang='io'), rdflib.term.Literal('Carel Groenevelt', lang='jut'), rdflib.term.Literal('Carel Groenevelt', lang='pms'), rdflib.term.Literal('Carel Groenevelt', lang='pt'), rdflib.term.Literal('Carel Groenevelt', lang='pt-br'), rdflib.term.Literal('Carel Groenevelt', lang='ro'), rdflib.term.Literal('Carel Groenevelt', lang='sc'), rdflib.term.Literal('Carel Groenevelt', lang='sco'), rdflib.term.Literal('Carel Groenevelt', lang='sje'), rdflib.term.Literal('Carel Groenevelt', lang='sq'), rdflib.term.Literal('Carel Groenevelt', lang='ast'), rdflib.term.Literal('Carel Groenevelt', lang='ca'), rdflib.term.Literal('Carel Groenevelt', lang='da'), rdflib.term.Literal('Carel Groenevelt', lang='de'), rdflib.term.Literal('Carel Groenevelt', lang='en'), rdflib.term.Literal('Carel Groenevelt', lang='es'), rdflib.term.Literal('Carel Groenevelt', lang='fr'), rdflib.term.Literal('Carel Groenevelt', lang='it'), rdflib.term.Literal('Carel Groenevelt', lang='nb'), rdflib.term.Literal('Carel Groenevelt', lang='nl'), rdflib.term.Literal('Carel Groenevelt', lang='nn'), rdflib.term.Literal('Carel Groenevelt', lang='sl'), rdflib.term.Literal('Carel Groenevelt', lang='sv')]"
Drs. G.W. (Gerrit Willem) Grootenhuis,[],https://hdl.handle.net/20.500.11840/pi1531,http://www.wikidata.org/entity/Q82571560,"[rdflib.term.Literal('Gerrit Willem Grootenhuis', lang='en'), rdflib.term.Literal('Gerrit Willem Grootenhuis', lang='es'), rdflib.term.Literal('Gerrit Willem Grootenhuis', lang='nl'), rdflib.term.Literal('Gerrit Willem Grootenhuis', lang='sq')]"
