name,wiki_uri
Adjeng Atmosari (alias Mevr. G.L. Weijnschenk),[]
Derek Howard Matthews,[]
H. H. (Herbert Harry) Cawood,[]
pater Jan Verschueren MSC,[]
J. (Jan) Hoynck van Papendrecht,[]
Ong Kian Bie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574197')]
W.S. Bitter,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84368516')]
W. Kalmar,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84368591')]
A.C. van den Berg,[]
L.S.A.M. (Lucien Sophie Albert Marie) von RÃ¶mer,[]
P.A.J. (Pieter Adriaan Jacobus) Moojen,[]
R.J. Ouwejan,[]
dhr. J. (Jan) Sluijters,[]
A. (Anton Huang) Widjaja,[]
Emilie van Kerckhoff,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q15943310')]
Mw. Yeni Kurniati,[]
Jr. L.D. Petit,[]
W. Buys,[]
H.A.J. Baanders,[]
Mw. S. (Selina) Post,[]
Dhr. Wim Wandel,[]
G. Goossens,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593422')]
Ph. A. M. Gravin van Heerdt tot Eversberg-Quarles van Ufford,[]
L.W. van Soest,[]
C. v.d. Horst,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593488')]
I.A. (Isidor Arras) Ochse,[]
W.F. (Willem Frederik) Denninghoff Stelling,[]
H.A.L. (Hendrik Arend Ludolf) Wichers,[]
E.A. von Saher,[]
A.P. Prange,[]
J. (Johan) van Aerschot,[]
Pieter Dirk Rezelman,[]
Mr. J.P. (Johan Paul) Graaf van Limburg Stirum,[]
B. Samuels,[]
W.J.P. (Willem Jan Pieter) van der Does,[]
M. (Marten) Jongema,[]
W.J.F. (Wilhelmus Jean Frederic) Imandt,[]
P. van Bergen,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593197'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q108668431')]"
G.J. (Gerardus Johan) Ensink,[]
mw. E. J. Stapert-Koning,[]
A. J. Grootens,[]
J. B. van der Hulst,[]
Bart Peizel,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q3359512')]
L.O. Reuchlin,[]
J.A. (Jan Arien) Deodatus,[]
Auke Sonnega,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2344104')]
A. (Ashraf) Hashem,[]
M. (Mohamad) Hashem,[]
Mirjam Shatanawi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575041')]
Shabaan El Kharraat,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498608')]
O.G. (Gerhard) Heldring,[]
M. Kuchlin,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593647')]
Mevr. A.P.J. (Aleida Paulina Johanna ) Onrust-Zeilmaker,[]
Jacob Taanman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q19922003')]
C. (Cornelis) Kruseman (1797-1857),[]
D.H. (Daniell Herbert) van der Poll,[]
Dr. J.H.F. (Jakob Hermann Friedrich) Kohlbrugge,[]
H.P. (Hendrik Pieter) Mispelblom van Altena,[]
Hr. Babulal Bhatt,[]
Pater P. (Petrus) Vertenten M.S.C.,[]
"Datoe WÃ© Kambo DaÃ«ng Risompa van Loewoe, vorstin",[]
Siti Aisyah We Tenriolle,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q16868127')]
Van Tienhoven,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84368708')]
Mahmud Hilmi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593473')]
N. (Nicolaas) Pieneman,[]
Baron DaniÃ«l Mackay,[]
dr. Gregor Krause,[]
A.P. (Anton Philip) van Aken,[]
I. van Kessel,[]
R. (Rob) Berkel,[]
E.A. Heavy Teshie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594303')]
R. (Romeyn) de Hoogh,[]
dr. Deniz Ãnsal,[]
S. (Sammi) Young,[]
H. (Hendrik) Colijn,[]
D.G.E. (Diederijk Gerhard Engelbert) Wolterbeek Muller,[]
Walter Kaudern 1881-1942,[]
N.B. Nix,[]
J. (Jaap) Kunst,[]
Sjuwke Kunst,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18016285')]
Kuwat Bin Hama,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498660')]
P. (PÃ©) Rozing S.V.D.,[]
Roy Villevoye,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q22237655')]
Dr. J.C.F. (Josephus Carel Franciscus) Last,[]
Boy Lawson,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q64213586')]
C.C.F.M. (Charles Constant FranÃ§ois Marie) Le Roux,[]
C.L.G. Veldt,[]
Mr.  J.W. Ramaer,[]
Frans Lebret,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18516508')]
Ernst Ch.L. Agerbeek,[]
Loo Siauw Kwan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82573379')]
Liem Soei Hong,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82573278')]
Lo Siok Tjwan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593746')]
Tan Kian Ya,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499559')]
Fachrorozi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86817978')]
Nj. Tan Sin Ing,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499561')]
A. Baswedan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735474')]
G.B. Jan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735478')]
Gan Thay Soen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498362')]
Nj. Njoo Djwan Bu,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574020')]
Njoo Kiem Nio,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498942')]
Hoo Je Kheng,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593485')]
Gan Tjoe Gwat,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498363')]
Oey Hian Whie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593947')]
Oey Hian Swie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86817979')]
Oey Mho Hie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498970')]
Hoo Tjoe Hing,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498463')]
Oey Siok Hiem,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498973')]
Liem Giok Kwie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593718')]
Neettiy Kwee,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498928')]
Oey Kik Hwa,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498968')]
Lim Tin Giok,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593738')]
Hoo Hien Liong,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498460')]
Oey Ci Boen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498967')]
Oey Mha Tjoe,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574141')]
G.F. Knebel,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735480')]
M.T.H. Perelaer,[]
C. (Cornelis) de Bruijn,[]
J. Thorn Prikker,[]
J. de Wilde,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q25859876'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735419')]"
C. (Chris) Lebeau,[]
Tine Bonnema,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735422')]
Lina Tervooren,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735426')]
Willem Frederik Heskes,[]
Jeanne Koning-Coeterier,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735428')]
J.H. van Ingen Jr.,[]
E. van Ingen-Reerink,[]
Armand Cassagne,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2861795')]
Jozef Ferdinand (Eppo) Doeve,[]
C.M. Kan,[]
Antonin Proust,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q598992')]
Marie Kooij-van Zeggelen,[]
Dr. S.W. (Simon Willem) Visser,[]
F.C. (Carel) van Leeuwen,[]
Dhr. C. (Cornelis) Lekkerkerker,[]
J. (Jan) Schreuder,[]
S. (Sam) van Beek,[]
Johannes (Jan) Larij 1879-1962,[]
Louis Couperus,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q437798')]
Geertruida Poortenaar-van Vladeracken,[]
T. (Tjipke) Visser,[]
M.M.C. (Mary Mathilda Constancia) Herrmann,[]
J.T. (Jan Theodoor) Ponse,[]
Dr. K.H. Mertens,[]
F.G. Carpenter,[]
Jan Rotgans,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1817433')]
S.T. (Sonja Theodora),[]
J.H. Blinde,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593212')]
Joh. van Hulzen,[]
R.H.A. (Ronald Henry Arthur) Frijling,[]
Line van Suchtelen-Leembruggen,[]
S. Kunst,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735492')]
Z.K.H. Prins Bernhard van Lippe Biesterfeld,[]
A. Zaaier,[]
J. (Jaap) Veenendaal,[]
M. Dolores,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735536')]
Rob Graafland,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1863550')]
J. (Justus) Heymans,[]
B.A.I.G (Bernardus Alphonsus Ignatius Gerardus) van Vlijmen,[]
Dr. A.B. Korff,[]
A. (Albert) Eckhout,[]
Soetan Sjahrir,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2470857')]
Th.B. (ThÃ©odore Bernard) van Lelyveld,[]
Th.J.A. Hilgers,[]
Dr. C.P. Gunning,[]
J.C. (Jacob Christiaan) Koningsberger,[]
J.W.G.J. Eilerts de Haan,[]
A. Soleman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735548')]
E.A. (Ernest Alfred) Hardouin,[]
S.I. Hlatshwayo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82571748')]
Dhr. T. van der Pol,[]
dhr. S. Polpe,[]
dhr. E.J. (Evert Jan) Ligtelijn,[]
dhr. E.J. (Evert Jan) Ligtelijn,[]
KhÃ©lifa Jelassi,[]
A.L. (Arnold Lodewijk) Bokhorst,[]
A.L. (Arnold Lodewijk) Bokhorst,[]
Ds. Peter Martin LegÃªne,[]
A. (Ahmad) Khalili,[]
J.Ph. Levert,[]
L.O. Zwager,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735557')]
Raden Ajoe Binti,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86817980')]
Orkhan Huseynov,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82572001')]
Raden Saleh,[]
T. (ThÃ©odore) Bray,[]
Liem Bwan Tjie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q19746129')]
H. (Hisyam) Achmad,[]
G.J. Afolabi Ojo,[]
Carel Adolph Lion Cachet,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2116566')]
F. van Ameijde,[]
R. (Ruth) Barnes,[]
A. (Adolf) Bastian,[]
A. Luytjes,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735072')]
Ferrie Maaswinkel,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735112')]
J. (JosÃ©) BenÃ­tez SÃ¡nchez,[]
P.J. Benoit,[]
G. Macotela,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82573407')]
Dr. A.J. (August Johan) Bernet Kempers,[]
J. (Jean) Besancenot,[]
J. (Jyoti) Bhatt,[]
V. Bing,[]
C. (Carl) Bock,[]
H. Bongers,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84767057')]
N. (Nico) C.R. Boogaart,[]
Prof. dr. R. (Rudolf) Martin,[]
DaniÃ«l Alexander van der Meer,[]
J.C. van der Meer Mohr,[]
H. BrÃ¼ckner,[]
Prof. C.F.A. Bruijning,[]
M.S.J.(Menno Simon Jacobus) van Meeteren Brouwer,[]
R. L. (Remt Lourens) Mellema,[]
F.B. Carbasius,[]
D. (Daniel) van der Meulen,[]
B.C. (Ben) Meulenbeld,[]
G.E.P. Collins,[]
W.J. (Wilhelmina) Meijer,[]
J.S. Cowen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735597')]
D. (Dick) Middelhoek,[]
Dhr. P. (Peter) David,[]
T.A.H.M. Dobbelmann,[]
Prof.Dr. E.C.J. Mohr,[]
J.R.D. (Jacobus Reinoud Dirk ) Moojen,[]
A. (Albertine) MÃ¶rzer Bruyns-Prange,[]
F. van Mourik,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593880')]
Dr. D.G. (Denis Gerard) Mulder,[]
Wim Mulder,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q106644470'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q109996103')]"
Dr. H.P.N. (Hendrik Pieter Nicolaas) Muller,[]
R.J. (Roelof) Munneke,[]
C. Mystkowski,[]
P.C. Nelson,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593909')]
M.A. (Maria Adrianus) van Nieukerken,[]
W.O.J. (Wijnand Otto Jan) Nieuwenkamp,[]
F.J. (Friedrich Johann) Grabowsky,[]
"C. (Christiaan ""Chris"") Nooteboom",[]
Dr. C.H.M. (Hetty) Nooy-Palm,[]
Johannes Ode,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735115')]
A.C. (Alfred) Haddon,[]
J.C. (Johannes) Hageman,[]
Prof. dr. E.T. (Ernest-ThÃ©odore) Hamy,[]
Dr. L. (Louis) Onvlee,[]
B. Hanson,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735603')]
Prof.Dr. H.A.P.C. (Janus) Oomen,[]
R. (Robert) de Hartogh,[]
Prof. Dr. G.A.J. (Godard Arend Johannes) Hazeu,[]
H.J. Heeren,[]
Piet Ouborg,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2094198')]
C. (Claire) Holt,[]
P. H. (Pieter Henricus) van der Hoog,[]
C. van Huut-Kardos,[]
Hendrik Paulides,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18603294')]
R. Italiaander,[]
prof. dr. W. (Wilhelm) Joest,[]
Dhr. L. (Ludwig) Pesch,[]
Dr. H.F.C. (Herman Frederik Carel) ten Kate jr.,[]
L.M.F. (Louis Matthieu FrÃ©dÃ©ric) Plate,[]
J.I.  (Jowa Imre) Kis-Jovak,[]
J.C. (Jan Christiaan) Poortenaar,[]
G. (Gunter) Konrad,[]
U. (Ursula) Konrad,[]
prof.dr. Augustin KrÃ¤mer,[]
J.E. (Josephine) Powell,[]
J.H. (Joseph Hanson) Kwabena Nketia,[]
E. H. (Ernst Heinrich) Landrock,[]
J.H.J. (Laddy) van Putten,[]
Dr. O. de Raadt,[]
C. (Conradus) Leemans,[]
R. F. (Rudolf Franz) Lehnert,[]
M.L.J. Lemaire,[]
G.J. Raucamp,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735118')]
A. Loosjes,[]
F. (Felix) von Luschan,[]
H.C. (Herman) van Renselaar,[]
H.J. Reuchlin-Lucardie,[]
H. (Hannes) Reurekas,[]
T. (Theo) Meier,[]
E. Modigliani,[]
Cyl Gallindo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q10262680')]
S. (Salomon) MÃ¼ller,[]
C.J. (Chris) Neeb,[]
Mw. L. (Loan) Oei,[]
C. (Coen) van Oven,[]
R. Parkinson,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q67438789'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q67483720'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735629')]"
Charles Sayers,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18508056')]
S. Salim,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594096')]
Mas Pirngadie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574362')]
C.M. (Cornelius Marinus) Pleyte Wzn.,[]
Anna Jacoba (Hans) van Santen,[]
Aug. Savelkoul N.V.,[]
W.H. (Willem Huibert) Rassers,[]
Prof.Dr. C. (Carl) Rathjens,[]
A.P. (AndrÃ©) Schaller,[]
C. (Cornelis) Schermers,[]
G.A.J. (Gijsbertus Adrian Johan)  van der Sande,[]
Fritz Sarasin,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q124522')]
Prof.Dr. B.J.O. (Bep) Schrieke,[]
W.F. (Willem Frederik) SchrÃ¶der,[]
C.P. (Charles Prosper) Wolff Schoenmaker,[]
Prof. Dr. J.W. (Pim) Schoorl,[]
H. Sesink Clee,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735124')]
J.F. (Johannes FranÃ§ois) Snelleman,[]
F. (Felix) Speiser,[]
Dr. W.G.N. (Wicher Gosen Nicolaas) van der Sleen,[]
dr. Willem Frederik Stutterheim,[]
Drs. J. (Jeanne) Terwen-De Loos,[]
Iwan Tirta,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q4262767')]
Ch. (Charles) Uht,[]
Fritz Spiro,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575259')]
Prof. Dr. G. (Gerold) Stahel,[]
Dr. F.R.J. (Frans Rijndert Johan) Verhoeven,[]
Prof.dr. L.E. (Leontine Elisabeth) Visser,[]
Ph.C. (Philips Christiaan) Visser,[]
C. (Cora) Vreede - de Stuers,[]
Dhr. J. (Jeremy) Warren,[]
Rob van Wendel de Joode,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735636')]
Dr. J.H. Westermann,[]
Dhr. Serapio Pinedo,[]
S. (Simon) Pronk,[]
H. (Hermann) von Wissmann,[]
A.F.R. (Alexander Frederick Richmond) Wollaston,[]
J. (Co) Woudsma,[]
H.C. (Henri Carel) Zentgraaff,[]
T. (Tassilo) Adam,[]
G.L. (Gerard Louwrens) Tichelman,[]
"J.J. (Jean Jacques ""Jan"") de Vink",[]
R. (Rene) de Vries,[]
Herman Witkamp,[]
Misabel Pedroza,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82573501')]
W. (Willy) Zimmerman,[]
H.N.A. (Henri Nicolas Alfred) Swart,[]
