name,wiki_uri
Dhr. R. (Ronny) Erends,[]
Dhr. B. (Bert) Garthoff,[]
Dhr. A. (AndrÃ©) de la Varre,[]
Dhr. J. (Jan) van der Kolk,[]
Dhr. J. (Jacques) Bertel,[]
Dhr. H. (Hans) Rolloos,[]
Dhr. J. (Jan) Venema,[]
Dhr. R. (Roelof) Kiers,[]
Dhr. H. (Hugo) de Vries,[]
Dhr. G. (Georges) Delerue,[]
J. (Jan) Visser,[]
Dhr. P. (Per) SÃ¶derberg,[]
Dhr. D. (Derrick) Knight,[]
Dhr. B. (Bjorn) Jensen,[]
Dhr. L. (Louis) Emmerij,[]
Dhr. B. (Bert) Kroon,[]
Herman Eduard Rombouts,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86739523')]
Dhr. J. Blaauwboer,[]
Dhr. J. (John) Fernhout,[]
Dhr. A. (Alphons) Hustinx,[]
Dhr. F. (Frank) Chumaceiro,[]
Mw. T. (Tita) Chumaceiro,[]
Dhr. A. (Abraham) Jesurun,[]
Mw. G. (Gloria) Jesurun,[]
Dhr. E. (Edgar) Palm,[]
Paco Rabanne,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q467754')]
Dhr. J. (Jean) Vidal,[]
Dhr. S. (Serge) Debecque,[]
Dhr. P. (Pierre) Laurent,[]
Dhr. M. (Maurice) Pecqueux,[]
Dhr. G. (Georges) RÃ©gnier,[]
Dhr. G. (Ghislain) Cloquet,[]
Dhr. J. (Jean) Dessaily,[]
Dhr. R. (RenÃ©) Zuber,[]
Dhr. A. (Ahmed) el Toukhy,[]
G. Wolf,[]
Dhr. F.W. Murnau,[]
Dhr. R. (Robert) Flaherty,[]
Dhr. H. (Hans) Mann,[]
Dhr. D.J. Degens,[]
Dhr. H.A. Reemer,[]
J.C. Reedijk,[]
dhr. Nagel,[]
Dhr. L. (Luc) Willink,[]
Dhr. J. (Jac) van Zwijndrecht,[]
Dhr. W. (Willy) Mullens,[]
M. (Madleine) Vionnet,[]
P. (Paul) Poiret,[]
M. (Martha) Meijer,[]
"A.A. (Adrian, Adolph) Greenbeerg",[]
"J. O. (John, Orry) Kelly",[]
Dhr. K. (Kommer) Klein,[]
S.H. (Sie Hok) Tjwan,[]
Baron V. (Victor) von Plessen,[]
J.G.R. Gerrits,[]
H.R. Sinia,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736235')]
dhr. J.H. Bitters,[]
Dhr. M. (Mannus) Franken,[]
H. (Henk) van den Berg,[]
Dhr. E. (Eimert) Kruidhof,[]
mw. I. (Inge) Konijn,[]
I Goesti Made Gede Tamat,[]
dhr. J. S. (James) Bruce,[]
Br.H.C. Kruyt,[]
A.L. Quentin,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594034')]
P.A. de Jong,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593562')]
professor C. Heck,[]
Tessan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818293')]
Ganku,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q555061'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818294')]"
Mrs. Y. (Yuko) Watanabe,[]
J. Gibson,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q75636381'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q75832705'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593413'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q108628888')]"
P. (Pieter) le Comte,[]
A. (Abelardo) Da Hora,[]
Scorpio Matrix,[]
Senapati,[]
N. Gopala Row,[]
T.B. Vathy,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736249')]
T.R.V. Iyer,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593523')]
P.A. (Pieter Adrianus) Schipperus,[]
J. (Jacques) Kuyper,[]
L. (Ludwig) Portman,[]
J.S. Klauber,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736255')]
C. Ermer,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736287')]
C.A. (Charles Alexandre) Lesueur,[]
J. Milbert,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736290')]
C.W. (Carl Wilhelm) Rosset,[]
J.H. Teixeira de Mattos,[]
L.H. van Bennekom,[]
N. Walker,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736294')]
I. Wajang Ledang,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594404')]
I Kedoet Kadoe,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818310')]
Mw. P. (Pauline) van der Zee,[]
D. (Devyani) Krishna,[]
K. Laxma Goud,[]
S. (Sanat) Kar,[]
dhr. D. (Dipak) Banerjee,[]
S. (Shail) Choyal,[]
Dhr. S. (Steef) Meyknecht,[]
Dhr. J. (Jan) Dietvorst,[]
Dhr. W. (Wim) Powel,[]
Dhr. K. (Karl) Joseph,[]
W.T. (Willem Theodoor) van Oijen,[]
G.R. Santosh,[]
S (Shanti) Dave,[]
A. (Anupam) Sud,[]
M.F.(Maqbool Fida) Husain,[]
M. (Manjit) Bawa,[]
J. Sultan Ali,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q43138382')]
A. (Alan) Gignoux,[]
K. (Khalil) Raad,[]
Dhr. N. b. L. (Naphthali ven Levi) (Henry) van Praag,[]
dhr. L.F. (Frits) Ohl,[]
P. Clausing Jr.,[]
T.S. (Tjioe Siauw) Tjhwan,[]
M. BÃ¼ttinghausen,[]
J.B. Jasper,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q60005498')]
R. Severin,[]
Prof. Dr. Alex van Stipriaan LuÃ¯scius,[]
Y. Asada,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593169')]
Pater W. (Willem) Ahlbrinck,[]
Ong Liang Khaij,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818312')]
Eduard Gerard Marius Rombouts,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574743')]
F. (Frits) Wassenburg,[]
R.N. (Richard NicolaÃ¼s) Roland Holst,[]
A. (Anton) Kurvers,[]
I Geremboeang,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82572007')]
H.L.C. (Henry Louis Charles) te Mechelen,[]
dhr. J. JÃ¼rgen Schadeberg,[]
dhr. B. (bob) Gosani,[]
L. Talbot,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736187')]
K. Tsukinuki,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499660')]
S.G. Heijmering,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736350')]
C. (Chris) Buzelli,[]
Wim Kerkhove,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736352')]
P. (Pauline) F. Wesselink,[]
I. Asada,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q83286455')]
dhr. H. C. (Henry) Balink,[]
Astrodjojo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818313')]
CarybÃ©,[]
J.A.W. (Johan Anton Willebrord) von Stein,[]
dhr. T. (Thomas) PolimÃ©,[]
F. (Frans) Stelling,[]
M. (Mahmoud) Darwish,[]
mw.  A. (Alma) Dieko,[]
J. (Jumana) Emil Abboud,[]
dhr. M. (Masahiko) Tsubota,[]
M. Kinsen,[]
dhr. C. (Carl) Fahringer,[]
H. (Hossein) Qollar Aqasi,[]
Soeradji,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818315')]
J.H. Antonisse,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82570079')]
Jean Baptiste Madou,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1384245')]
P. (Paul) Lauters,[]
M. (Max) Nauta,[]
J.G. (John Gabriel) Stedman,[]
Tardieu L'AinÃ©,[]
B. Nyang,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593938')]
H.W. (Hendricus Weimar) Groll,[]
J.W.H. Ader,[]
Jan Frank,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18608014'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q27973729'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q42501027'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q95094993'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q104544422'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q104548643')]"
Duhamel Tome II,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593345')]
Koempoel,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818316')]
W.F. Shaw,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594135')]
T.A.S. Cuttack,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593306')]
Matsumura Keibun,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q11531427')]
Hokushin,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818318')]
R. (Reggie) Quao,[]
Ekaw Bentil,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593196')]
GÃ©rard Laurent,[]
W. (Wilfrid) Daleus,[]
T. (Tadashi) Nakayama,[]
J.L. Tutamanti,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594378')]
"A.F. (Antoine, Francois) Heiligers",[]
Mauribu,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818319')]
P. (Pedro) Ignacio,[]
F.C. Bruining,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593230')]
J.M. Kierfdorff,[]
L. M. (Ludwig Michael) Nader,[]
Wm. Cooper,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593289')]
Philip van Dijk,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2086519'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q2086528')]"
T. v/d Laars,[]
G.J. (Gerrit Jan) Thieme,[]
F. Regters,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736366')]
E. van Harrevelt,[]
T. Mulder,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736369')]
P. Fouquet Junior,[]
J. (Jacob) Houbraken,[]
Palthe,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818321')]
Is. Tirion,[]
Ben C. Enwonwu,[]
S. (Satyajith) Ray,[]
I Gusti Gede Rake,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594041')]
I Nyoman Juala,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593571')]
F. (Frank) Ziechem,[]
Ida Bagus Alit,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593152')]
Ki Enthus Susmono,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q12482526')]
Henk Schulte Nordholt,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q1910435'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q2336885'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q2570036')]"
Jamna Lal,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593675')]
dhr. O. (Obed) Addo,[]
G.J.W.  (Gerbranda Johanna Wilhelmina) Rueb,[]
G.J.W.  (Gerbranda Johanna Wilhelmina) Rueb,[]
Astrid Honold,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82571861')]
Toon Dupuis,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q7824148')]
Marlene Dumas,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q260617')]
Nicholas Pope,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2554312'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q3339670'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q7026072'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q99484135')]"
Jan Bronner,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2656247')]
Jo Schreve-IJzerman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q15713518')]
Mw. J. (Jenny) Visser-Hooft,[]
Onno Hasebos,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593447')]
dhr. C. (Carel) Visser,[]
Skip  Wallen,[]
Saad Alani,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593145')]
Halim al-Karim,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82569991')]
Nynke Jelles-Schepers,[]
P.G. (Pieter) van Dongen,[]
R. Kerbosch,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736401')]
dhr. E. (Elbert) Hennipman,[]
Bob van Opzeeland,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593986')]
F. (Frits) van Bemmel,[]
W. van Bemmelen,[]
J. (Jan) Sterk,[]
M. (Michael) Barak,[]
P. (Paul) Berghuis,[]
W. (Warwick) Freeman,[]
M. (Mochtar) Apin,[]
L.G. Wybrands,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736406')]
Kees Smout,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2246809')]
Pieter TanjÃ©,[]
N. (Nic.) Schuitvlot,[]
P. (Peter) Elfelt,[]
Prof. J.F. (Johann Friedrich) Blumenbach,[]
J.R. (John Raphael) Smith,[]
J. (Johann) Jacobe,[]
J. (Joshua) Reynolds,[]
K (Kees) van Langeraad,[]
M. (Muhammad) Sadiq,[]
Raqm Ali Ra'isi Najafi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594037')]
Seah Kim Joo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82572678')]
M. (Muhammad) Ali al-Isfahani,[]
Eko Nugroho,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q21996117')]
M.M. CouvÃ©e,[]
B. (Berend) Zweers,[]
Van Oudgaarden,[]
G. (Gilbert) RenÃ©,[]
dhr. R. (Rudy) Harold,[]
Dhr. J.J. (Jean-Jacques) Annaud,[]
Dhr. E. (Edward) Goldwyn,[]
Henry Winkles,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q15438635')]
Dhr. P. (Paul) Wolbers,[]
C. Buddingh,[]
Felix de Rooy,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q58767282')]
Siauw Sen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594116')]
J. Hardeman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736403')]
Heri Dono,[]
S.M.N. (Syed Muhammad Naquib) al-Attas,[]
F. Reinhard,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736418')]
R. Devolder,[]
"W.H. (Wilhelm, Hendrik) de Vriese",[]
A. (August) Kaulfuss,[]
J. Dzn. Blaauboer,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82570418')]
Noeki AndrÃ© Mosis,[]
Lobie Cognac,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593282')]
De heer L. (Leo) Sampai,[]
Sten Pieka,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594005')]
Lesley Inrico Pinas,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736458')]
dhr. K. (Kenneth) Solega,[]
Ramon,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q28380154'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q56248403'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q76002544'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818344'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q94507393'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q97169033')]"
J. (Jaap) Zwarthoed,[]
Oeij Eng Tian,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q85724219')]
C. KrÃ¼ger,[]
Dr. E. (Erich) Salomon,[]
Pater S. (Simon) Buis,[]
P. (Prasad) Raghavan,[]
Sim Simaro,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575160')]
Lizzy  Ansingh,[]
J. Sleding,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q58112597')]
H. (Harry) Clifton Soundy,[]
mw. C. Carolyn Dyk,[]
BetsabeÃ© Romero,[]
E. (Edmond) Fortier,[]
dhr. H.W.A. Sciarone,[]
dhr. E. (Enno) van Gelder,[]
dhr. C. (Chris) Pennarts,[]
G.L. (Geertruida Louisa) Wieseman-Dom,[]
H. R. (Hasan Raza) Raja,[]
Ida Bagus Anom,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q43126761')]
Osama Esid,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82571199')]
P. (Peter) Matthijsse,[]
A. Ae. (Allaert Aegidius) Creutzberg,[]
dhr. B. (Bas) Losekoot,[]
P. Izeboud,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736471')]
Tae San,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86007531'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818345')]"
S. (Sindudarmo) Sudjojono,[]
Kenneth Bilby,[]
A. (Albert) Greiner,[]
M.L. Winter,[]
J. (James) Page,[]
J. (Gerrit Jan) van Koningsveld,[]
H.R. Olland,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736479')]
C. Brasch,[]
W.C. van Dijk,[]
Mauritz Verveer,[]
J.A.F. van den Houte Willems,[]
De heer M. Thouvenot,[]
P.-A. (Pierre-Antoine) Vettorello,[]
S. (Susanne) Wenger,[]
Adebisi Akanji,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q21554830')]
M. Mazaraki,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736519')]
Van Brederode,[]
Yue Chan,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818348'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q95948399'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q103042304')]"
G.M.A. Elbers,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593353')]
K.A. Simon,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q83286645')]
Aluessi Samaki,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594097')]
J. (Jas.) de Alwis,[]
H. de Rhijnlander,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594063')]
A. (August) Parengkuan,[]
Singamangaraja XII,[]
G. SÃ©vereyns,[]
AngÃ¨le Etoundi Essamba,[]
A. (AndrÃ©) Roosevelt,[]
M. (Madeleine) Berkhemer,[]
J.A. (JerÃ´me Alexander) Sillem,[]
I Ketut Budiana,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82570545')]
Jacob van Nieulandt,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q18608120')]
J.P. Strijbos,[]
T. (Ted) Dobson,[]
dhr. C. (Cor) Houweling,[]
L. (Leonard) Freed,[]
Toyin Loye,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575809')]
Dhr. R. Adolf,[]
Kho Liang Ie,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2194538')]
Joan Berg,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q22093487')]
Willem Bernardus IJzerdraat,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q58317584')]
M. Wongsodimedjo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594449')]
Sammy Baloji,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2266050')]
H.F. (Hugo Frederik) Volkersz,[]
Rodan OmomÃ¡,[]
R. Marchand,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593816')]
Yohannes Tessema,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575565')]
C.P. (Chris-Paul) Stapels,[]
G. (Gerhard) Jaeger,[]
Abdallah Ben Ahmed,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498072')]
F.A. (Frits Anton) Heckler,[]
dhr.  D. (David) Linga,[]
dhr. I. (Isaac) Okyere Azey,[]
G. Yamashita,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594460')]
Soma Misiedjan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736534')]
A. (Alex) Bratsch,[]
Mitra Tabrizian,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q6881945'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q98766961')]"
dhr. P. (Piter) Tere,[]
I Wayan Siwi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575215')]
Mw. S. (Saima) Sjonko,[]
Wah Chan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499715')]
C. Mamani,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736574')]
K. (Kurt) Severin,[]
R. (Ravi) G. (Gopolan) Nair,[]
Tantjielan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818351')]
Tjiso Sieuw Tjhwan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594336')]
Beng Ik Tjiang,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593194')]
Julian Sinzogan,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575209')]
T. (ThÃ©ophile) FumiÃ¨re,[]
E. Guyot,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736579')]
Dr. Harald von KlÃ¼ber,[]
W.F. Commerell,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86735183')]
K.H. Verschoor,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736581')]
S. Saito,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84499278')]
J.A. (Jacobus Antonie) Meessen,[]
dhr. Q.A.A. Krijnen,[]
mw. R. (Roosje) Klap,[]
Dhr. Vane,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82575993')]
L. Kolling,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736584')]
M.H. LaddÃ©,[]
Mw. M. (Mylena) dos Santos,[]
B. (Brian) Nyinawanga,[]
J. (James) Iyuna,[]
P.  (Pedro) Wonaeamirri,[]
F. (Freddy) Puruntatmeri,[]
J. (John) Wilson,[]
John Mawurndjul,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q6247250')]
C. (Carlos) Amorales,[]
J. (Jan) Fabre,[]
Thomas Adiejontoe,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593127')]
Bekink,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818354')]
Jacob Afolabi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q3805767')]
F. (Frits) Gerritsen,[]
Daphne Oud,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593990')]
Els Machielsen,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593787')]
J. Miyasaki,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736593')]
Roberto Crocella,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593290')]
Hendrik (Henk) Christiaan Broer,[]
W.M.F. Timmermans,[]
Hans van der Kamp,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82572389'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q97399565'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q98647900')]"
Hardjo Padmojo,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84498163')]
Prof. H.F. (Hugo Frederik) Nierstrasz,[]
Yang Jiechang,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q4537813')]
M. (Marina) Abramovic,[]
K. (Krien) Clevis,[]
Ali Muhammad Isfahani,[]
Dr. J. Aalbers,[]
Salim Iraqi,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593516')]
Sayyid Uthman ibn Yahya,[]
J. Fujisaki,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736608')]
Mie Hoeng,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593864')]
A. Taggesell,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594240')]
Dhr. v.d. Laan,[]
Yinka Shonibare,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q4526104')]
R.G. Jonkman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593567')]
J. EphraÃ¯m,[]
Men Seng,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593841')]
Yaseen Al Obeidy,[]
dhr. T. (Thomas) Tchopzan,[]
HÃ© Zoul,[]
dhr. R. (RomÃ©o) Negro,[]
Dennis Riebeek,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82574713')]
Nishar Khodabaks,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593607')]
J.W. (Jan Willem) Wentzel,[]
E. (Eric) Schwab,[]
Nicolaas P.  de Koo,[]
J.J. (Joost Jacob) Jiskoot,[]
A. Touw,[]
M. Zwartjes,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736618')]
H. Deutmann,[]
W. (Willem) Zweerts de Jong,[]
Dhr. Ir. J.G. Pouw Hzn,[]
Jan Strumphler,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594195')]
W. von Steiner,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594193')]
prof.dr R. (Richard) Semon,[]
Edward W. Nelson,[]
prof.dr. Gustav Fritsch,[]
Josef Szombathy,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q114109')]
Mestre Vitalino,[]
R. Schutz,[]
Mee Cheung,[]
H. (Henri) de Louw,[]
Pedro Inacio Pinheiro,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736620')]
L. de Zwart,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594486')]
J. van Lunteren,[]
C.A. Opdam,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593985')]
M. (Mahmud) al Shahat ÙØ­ÙÙØ¯ Ø§ÙØ´Ø­Ø§Øª,[]
H.Q. (Harry) Peet,[]
Hamit AytaÃ§,[]
Sydik,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86818358')]
F.W. Krapp,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736611')]
P. Demcker,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736616')]
J.L. (Johannes Leonardus) van der Heijden,[]
Remco Lek,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736622')]
Jasper de Beijer,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q64097288')]
J. (Jan) van Oost,[]
E. Thielman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594319')]
M. van der Ree,[]
Dhr. Hellmund,[]
dhr. E. (Elliot) MacNaghten,[]
Waki Saman,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84594098')]
J.H.C. Vermeulen,[]
Ch.F.R. Ball,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q86736628')]
Kwe Seng,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593654')]
dhr. J.G.D. Vogelenzang,[]
Y. (Yahya) Haybi,[]
Affandi,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q2826050'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q20426359')]"
Ir. F.J.L. Ghijsels,[]
F.B.H. Asselbergs,[]
R.L.A. Schoemaker,[]
N.E. Burhoven Jaspers,[]
Adrian Paci,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q373786')]
W.M. (Willem Marius) Docters van Leeuwen,[]
Dr. H.J. Smit,[]
A.P. Smits,[]
H.A.F. de Does,[]
C. van de Linde,[]
J. de Bruyn,"[rdflib.term.URIRef('http://www.wikidata.org/entity/Q84593233'), rdflib.term.URIRef('http://www.wikidata.org/entity/Q110257768')]"
E.P. (Eugene Pierre) Deschaux,[]
Julio Breff,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q9016474')]
Catharina Carolina van Oosterom,[]
J.C. (Johannes Cornelis) Wienecke,[]
Albert Hahn Sr.,[]
Raden Ajoe  Soediro Winotoderdjo,[]
D.W.J. van Winsheijm,[]
J.A. Last,[]
P. (Paul) Foelsche,[]
Carolina Josephina von Franquemont,[rdflib.term.URIRef('http://www.wikidata.org/entity/Q82571293')]
M.C. (Maurits Cornelis) Escher,[]
