,const_range,g_stmt_len,const_len,wiki_stmt_len,wiki_len
497,ccrdfconst_10201-10220.ttl,266,16,64,1
498,ccrdfconst_10221-10240.ttl,291,16,53,1
499,ccrdfconst_10241-10260.ttl,295,15,85,1
500,ccrdfconst_10281-10300.ttl,399,18,117,2
501,ccrdfconst_10301-10320.ttl,407,18,120,2
502,ccrdfconst_10321-10340.ttl,296,18,67,1
503,ccrdfconst_10341-10360.ttl,353,17,133,4
504,ccrdfconst_10361-10380.ttl,332,16,60,1
505,ccrdfconst_10381-10400.ttl,384,18,113,2
506,ccrdfconst_10401-10420.ttl,305,15,142,3
507,ccrdfconst_10421-10440.ttl,228,14,58,2
508,ccrdfconst_10441-10460.ttl,252,16,0,0
509,ccrdfconst_10461-10480.ttl,303,18,104,3
510,ccrdfconst_10481-10500.ttl,298,17,95,3
511,ccrdfconst_10501-10520.ttl,357,18,112,2
512,ccrdfconst_10521-10540.ttl,297,16,0,0
513,ccrdfconst_10541-10560.ttl,296,19,113,5
514,ccrdfconst_10561-10580.ttl,331,17,74,2
515,ccrdfconst_10581-10600.ttl,327,15,118,3
516,ccrdfconst_10601-10620.ttl,289,17,0,0
517,ccrdfconst_10621-10640.ttl,322,16,112,4
518,ccrdfconst_10641-10660.ttl,323,17,159,5
519,ccrdfconst_10661-10680.ttl,267,19,0,0
520,ccrdfconst_10681-10700.ttl,313,19,117,4
521,ccrdfconst_10701-10720.ttl,340,17,88,1
522,ccrdfconst_10721-10740.ttl,298,19,0,0
523,ccrdfconst_10741-10760.ttl,235,19,0,0
524,ccrdfconst_10761-10780.ttl,245,14,0,0
525,ccrdfconst_10781-10800.ttl,300,18,87,2
526,ccrdfconst_10801-10820.ttl,224,14,26,1
527,ccrdfconst_10821-10840.ttl,293,17,50,1
528,ccrdfconst_10841-10860.ttl,296,17,54,1
529,ccrdfconst_10861-10880.ttl,294,17,103,3
530,ccrdfconst_10881-10900.ttl,304,16,74,1
531,ccrdfconst_10901-10920.ttl,369,19,53,1
532,ccrdfconst_10921-10940.ttl,289,14,123,4
533,ccrdfconst_10941-10960.ttl,280,16,0,0
534,ccrdfconst_10961-10980.ttl,214,10,0,0
535,ccrdfconst_10981-11000.ttl,94,3,0,0
536,ccrdfconst_11001-11020.ttl,273,11,76,2
537,ccrdfconst_11021-11040.ttl,357,20,81,1
538,ccrdfconst_11041-11060.ttl,373,18,129,2
539,ccrdfconst_11061-11080.ttl,349,19,139,3
540,ccrdfconst_11081-11100.ttl,368,19,149,3
541,ccrdfconst_11101-11120.ttl,256,16,53,1
542,ccrdfconst_11121-11140.ttl,320,17,138,4
543,ccrdfconst_11141-11160.ttl,306,17,97,4
544,ccrdfconst_11161-11180.ttl,307,17,45,1
545,ccrdfconst_11181-11200.ttl,254,13,0,0
546,ccrdfconst_11201-11220.ttl,281,19,76,3
547,ccrdfconst_11221-11240.ttl,308,18,0,0
548,ccrdfconst_11241-11260.ttl,372,19,155,5
549,ccrdfconst_11261-11280.ttl,352,16,132,4
550,ccrdfconst_11281-11300.ttl,215,13,0,0
551,ccrdfconst_11321-11340.ttl,287,15,66,3
552,ccrdfconst_11341-11360.ttl,338,17,179,5
553,ccrdfconst_11381-11400.ttl,262,11,57,1
554,ccrdfconst_11401-11420.ttl,266,13,103,3
555,ccrdfconst_11441-11460.ttl,264,16,49,1
556,ccrdfconst_11461-11480.ttl,352,17,89,1
557,ccrdfconst_11481-11500.ttl,340,18,107,2
558,ccrdfconst_11501-11520.ttl,335,17,81,2
559,ccrdfconst_11521-11540.ttl,312,17,0,0
560,ccrdfconst_11541-11560.ttl,462,17,120,1
561,ccrdfconst_11561-11580.ttl,290,14,84,2
562,ccrdfconst_11581-11600.ttl,348,19,72,2
563,ccrdfconst_11601-11620.ttl,355,20,161,5
564,ccrdfconst_11621-11640.ttl,360,16,118,3
565,ccrdfconst_11681-11700.ttl,349,17,271,11
566,ccrdfconst_11701-11720.ttl,278,14,6,1
567,ccrdfconst_11721-11740.ttl,279,9,56,1
568,ccrdfconst_11741-11760.ttl,347,13,134,2
569,ccrdfconst_11761-11780.ttl,249,15,27,1
570,ccrdfconst_11781-11800.ttl,364,18,142,3
571,ccrdfconst_11801-11820.ttl,295,17,0,0
572,ccrdfconst_11821-11840.ttl,316,15,94,1
573,ccrdfconst_11841-11860.ttl,270,15,108,2
574,ccrdfconst_11861-11880.ttl,329,18,109,3
575,ccrdfconst_11881-11900.ttl,275,14,88,2
576,ccrdfconst_11901-11920.ttl,356,18,203,6
577,ccrdfconst_11921-11940.ttl,333,14,56,3
578,ccrdfconst_11941-11960.ttl,360,20,97,1
579,ccrdfconst_11961-11980.ttl,333,20,83,2
580,ccrdfconst_11981-12000.ttl,318,17,88,1
581,ccrdfconst_12001-12020.ttl,349,17,179,4
582,ccrdfconst_12021-12040.ttl,402,18,197,4
583,ccrdfconst_12041-12060.ttl,417,19,154,2
584,ccrdfconst_12061-12080.ttl,323,19,126,2
585,ccrdfconst_12081-12100.ttl,310,17,137,5
586,ccrdfconst_12101-12120.ttl,271,15,77,2
587,ccrdfconst_12121-12140.ttl,372,20,114,3
588,ccrdfconst_12141-12160.ttl,363,19,154,5
589,ccrdfconst_12161-12180.ttl,257,16,71,1
590,ccrdfconst_12201-12220.ttl,115,1,0,0
591,ccrdfconst_12221-12240.ttl,116,2,0,0
592,ccrdfconst_12241-12260.ttl,233,11,72,1
593,ccrdfconst_12261-12280.ttl,304,16,73,1
594,ccrdfconst_12281-12300.ttl,330,15,99,3
595,ccrdfconst_12301-12320.ttl,410,19,45,1
596,ccrdfconst_12321-12340.ttl,350,17,152,4
597,ccrdfconst_12341-12360.ttl,316,18,63,2
598,ccrdfconst_12361-12380.ttl,350,20,140,3
599,ccrdfconst_12401-12420.ttl,295,16,94,4
600,ccrdfconst_12421-12440.ttl,369,19,100,2
601,ccrdfconst_12441-12460.ttl,255,18,0,0
602,ccrdfconst_12461-12480.ttl,292,16,82,2
603,ccrdfconst_12481-12500.ttl,293,18,90,2
604,ccrdfconst_12501-12520.ttl,259,16,51,1
605,ccrdfconst_12521-12540.ttl,282,17,79,1
606,ccrdfconst_12541-12560.ttl,283,17,100,2
607,ccrdfconst_12561-12580.ttl,346,18,86,1
608,ccrdfconst_12581-12600.ttl,236,9,47,1
609,ccrdfconst_12601-12620.ttl,304,14,92,2
610,ccrdfconst_12621-12640.ttl,261,19,59,1
611,ccrdfconst_12641-12660.ttl,355,20,132,4
612,ccrdfconst_12661-12680.ttl,376,18,124,2
613,ccrdfconst_12681-12700.ttl,311,16,114,2
614,ccrdfconst_12701-12720.ttl,278,18,81,2
615,ccrdfconst_12721-12740.ttl,341,19,100,2
616,ccrdfconst_12741-12760.ttl,270,17,59,2
617,ccrdfconst_12761-12780.ttl,272,15,70,2
618,ccrdfconst_12781-12800.ttl,288,15,160,8
619,ccrdfconst_12801-12820.ttl,248,9,95,2
620,ccrdfconst_12821-12840.ttl,251,15,112,5
621,ccrdfconst_12841-12860.ttl,229,11,115,6
622,ccrdfconst_12861-12880.ttl,343,14,123,2
623,ccrdfconst_12881-12900.ttl,277,11,133,6
624,ccrdfconst_12901-12920.ttl,262,12,77,2
625,ccrdfconst_12921-12940.ttl,370,15,86,1
626,ccrdfconst_12941-12960.ttl,290,16,103,4
627,ccrdfconst_12961-12980.ttl,289,15,118,4
628,ccrdfconst_12981-13000.ttl,258,12,125,4
629,ccrdfconst_13001-13020.ttl,321,11,130,4
630,ccrdfconst_13021-13040.ttl,152,4,0,0
631,ccrdfconst_13041-13060.ttl,103,1,0,0
632,ccrdfconst_13061-13080.ttl,162,5,28,2
633,ccrdfconst_13101-13120.ttl,123,1,0,0
634,ccrdfconst_13121-13140.ttl,169,3,26,2
635,ccrdfconst_13141-13160.ttl,146,6,6,1
636,ccrdfconst_13161-13180.ttl,357,16,207,5
637,ccrdfconst_13181-13200.ttl,228,11,45,1
638,ccrdfconst_13221-13240.ttl,157,3,0,0
639,ccrdfconst_13241-13260.ttl,114,0,0,0
640,ccrdfconst_13261-13280.ttl,123,1,0,0
641,ccrdfconst_13281-13300.ttl,109,1,12,1
642,ccrdfconst_13301-13320.ttl,138,0,0,0
643,ccrdfconst_13321-13340.ttl,112,1,0,0
644,ccrdfconst_13341-13360.ttl,133,2,0,0
645,ccrdfconst_13361-13380.ttl,150,1,0,0
646,ccrdfconst_13381-13400.ttl,136,1,0,0
647,ccrdfconst_13401-13420.ttl,132,2,0,0
648,ccrdfconst_13421-13440.ttl,115,1,0,0
649,ccrdfconst_13441-13460.ttl,153,2,31,1
650,ccrdfconst_13481-13500.ttl,296,14,186,7
651,ccrdfconst_13501-13520.ttl,284,14,123,4
652,ccrdfconst_13521-13540.ttl,327,14,126,3
653,ccrdfconst_13561-13580.ttl,232,12,37,1
654,ccrdfconst_13581-13600.ttl,260,14,95,2
655,ccrdfconst_13601-13620.ttl,282,10,137,4
656,ccrdfconst_13641-13660.ttl,294,15,146,4
657,ccrdfconst_13681-13700.ttl,383,16,202,7
658,ccrdfconst_13701-13720.ttl,175,9,18,1
659,ccrdfconst_13721-13740.ttl,198,2,23,1
660,ccrdfconst_13741-13760.ttl,191,9,0,0
661,ccrdfconst_13761-13780.ttl,314,15,163,6
662,ccrdfconst_13781-13800.ttl,330,18,123,3
663,ccrdfconst_13801-13820.ttl,371,18,91,1
664,ccrdfconst_13821-13840.ttl,302,19,36,1
665,ccrdfconst_13841-13860.ttl,271,18,82,3
666,ccrdfconst_13861-13880.ttl,320,19,104,2
667,ccrdfconst_13881-13900.ttl,332,18,87,2
668,ccrdfconst_13901-13920.ttl,281,16,45,1
669,ccrdfconst_13921-13940.ttl,275,15,70,1
670,ccrdfconst_13961-13980.ttl,232,12,74,3
671,ccrdfconst_13981-14000.ttl,352,16,144,4
672,ccrdfconst_14001-14020.ttl,416,17,266,9
673,ccrdfconst_14021-14040.ttl,326,18,83,2
674,ccrdfconst_14041-14060.ttl,338,20,0,0
675,ccrdfconst_14061-14080.ttl,336,20,0,0
676,ccrdfconst_14081-14100.ttl,292,19,0,0
677,ccrdfconst_14101-14120.ttl,382,19,0,0
678,ccrdfconst_14121-14140.ttl,393,19,93,1
679,ccrdfconst_14161-14180.ttl,279,13,84,2
680,ccrdfconst_14181-14200.ttl,331,18,139,4
681,ccrdfconst_14201-14220.ttl,242,8,119,5
682,ccrdfconst_14221-14240.ttl,302,12,71,2
683,ccrdfconst_14241-14260.ttl,271,15,91,2
684,ccrdfconst_14261-14280.ttl,315,19,134,4
685,ccrdfconst_14281-14300.ttl,335,19,85,2
686,ccrdfconst_14301-14320.ttl,288,18,59,1
687,ccrdfconst_14321-14340.ttl,283,16,100,3
688,ccrdfconst_14341-14360.ttl,309,17,119,4
689,ccrdfconst_14361-14380.ttl,330,17,168,5
690,ccrdfconst_14381-14400.ttl,350,14,216,7
691,ccrdfconst_14401-14420.ttl,363,20,210,7
692,ccrdfconst_14421-14440.ttl,328,16,110,3
693,ccrdfconst_14461-14480.ttl,240,8,46,2
694,ccrdfconst_14481-14500.ttl,282,16,81,1
695,ccrdfconst_14501-14520.ttl,286,18,104,3
696,ccrdfconst_14521-14540.ttl,316,17,118,2
697,ccrdfconst_14541-14560.ttl,338,17,175,6
698,ccrdfconst_14561-14580.ttl,245,17,61,2
699,ccrdfconst_14581-14600.ttl,273,20,128,7
700,ccrdfconst_14601-14620.ttl,265,20,58,1
701,ccrdfconst_14621-14640.ttl,298,16,93,2
702,ccrdfconst_14641-14660.ttl,409,18,157,3
703,ccrdfconst_14661-14680.ttl,345,17,0,0
704,ccrdfconst_14681-14700.ttl,318,13,63,1
705,ccrdfconst_14701-14720.ttl,410,17,128,2
706,ccrdfconst_14721-14740.ttl,387,18,137,3
707,ccrdfconst_14741-14760.ttl,309,17,0,0
708,ccrdfconst_14761-14780.ttl,324,19,98,2
709,ccrdfconst_14781-14800.ttl,286,18,91,2
710,ccrdfconst_14801-14820.ttl,273,14,69,2
711,ccrdfconst_14821-14840.ttl,277,18,69,2
712,ccrdfconst_14841-14860.ttl,257,19,96,4
713,ccrdfconst_14861-14880.ttl,334,17,171,5
714,ccrdfconst_14881-14900.ttl,298,15,66,2
715,ccrdfconst_14901-14920.ttl,348,18,56,1
716,ccrdfconst_14921-14940.ttl,275,12,125,6
717,ccrdfconst_14941-14960.ttl,282,14,67,1
718,ccrdfconst_14961-14980.ttl,347,17,119,3
719,ccrdfconst_14981-15000.ttl,343,16,148,3
720,ccrdfconst_15001-15020.ttl,265,16,45,1
721,ccrdfconst_15021-15040.ttl,239,15,52,2
722,ccrdfconst_15041-15060.ttl,270,9,101,3
723,ccrdfconst_15061-15080.ttl,290,16,84,2
724,ccrdfconst_15081-15100.ttl,314,16,174,5
725,ccrdfconst_15101-15120.ttl,308,16,93,2
726,ccrdfconst_15121-15140.ttl,317,18,123,4
727,ccrdfconst_15161-15180.ttl,290,19,73,2
728,ccrdfconst_15181-15200.ttl,275,13,98,3
729,ccrdfconst_15201-15220.ttl,225,10,32,1
730,ccrdfconst_15221-15240.ttl,263,15,123,5
731,ccrdfconst_15241-15260.ttl,354,16,53,2
732,ccrdfconst_15261-15280.ttl,344,16,121,5
733,ccrdfconst_15301-15320.ttl,369,17,107,1
734,ccrdfconst_15321-15340.ttl,372,18,118,2
735,ccrdfconst_15341-15360.ttl,350,18,125,2
736,ccrdfconst_15361-15380.ttl,354,14,119,3
737,ccrdfconst_15381-15400.ttl,322,18,136,3
738,ccrdfconst_15401-15420.ttl,297,17,118,4
739,ccrdfconst_15421-15440.ttl,324,15,129,8
740,ccrdfconst_15441-15460.ttl,334,13,166,5
741,ccrdfconst_15461-15480.ttl,285,17,75,3
742,ccrdfconst_15481-15500.ttl,300,17,119,3
743,ccrdfconst_15501-15520.ttl,347,18,126,3
744,ccrdfconst_15521-15540.ttl,296,14,57,1
745,ccrdfconst_15541-15560.ttl,356,17,190,6
746,ccrdfconst_15561-15580.ttl,358,18,62,1
747,ccrdfconst_15581-15600.ttl,277,15,116,5
748,ccrdfconst_15601-15620.ttl,302,16,101,3
749,ccrdfconst_15621-15640.ttl,287,17,70,2
750,ccrdfconst_15641-15660.ttl,439,20,231,5
751,ccrdfconst_15661-15680.ttl,260,11,89,2
752,ccrdfconst_15721-15740.ttl,333,18,135,3
753,ccrdfconst_15741-15760.ttl,332,15,161,5
754,ccrdfconst_15781-15800.ttl,296,17,114,4
755,ccrdfconst_15801-15820.ttl,337,15,180,5
756,ccrdfconst_15821-15840.ttl,254,15,99,3
757,ccrdfconst_15841-15860.ttl,273,16,0,0
758,ccrdfconst_15861-15880.ttl,238,10,0,0
759,ccrdfconst_15881-15900.ttl,313,17,112,3
760,ccrdfconst_15921-15940.ttl,305,16,143,4
761,ccrdfconst_15941-15960.ttl,283,19,64,2
762,ccrdfconst_15961-15980.ttl,301,17,107,2
763,ccrdfconst_15981-16000.ttl,387,14,242,7
764,ccrdfconst_16001-16020.ttl,297,17,47,1
765,ccrdfconst_16021-16040.ttl,227,15,0,0
766,ccrdfconst_16041-16060.ttl,268,19,105,4
767,ccrdfconst_16061-16080.ttl,270,16,66,1
768,ccrdfconst_16081-16100.ttl,344,17,49,1
769,ccrdfconst_16101-16120.ttl,399,17,187,6
770,ccrdfconst_16121-16140.ttl,320,17,138,4
771,ccrdfconst_16141-16160.ttl,364,19,167,5
772,ccrdfconst_16161-16180.ttl,404,18,0,0
773,ccrdfconst_16181-16200.ttl,356,20,84,2
774,ccrdfconst_16201-16220.ttl,289,19,90,2
775,ccrdfconst_16221-16240.ttl,320,18,117,3
776,ccrdfconst_16241-16260.ttl,337,15,125,2
777,ccrdfconst_16261-16280.ttl,292,16,55,2
778,ccrdfconst_16281-16300.ttl,317,19,93,2
779,ccrdfconst_16301-16320.ttl,279,15,108,2
780,ccrdfconst_16321-16340.ttl,316,16,112,3
781,ccrdfconst_16341-16360.ttl,336,19,138,3
782,ccrdfconst_16361-16380.ttl,263,15,70,2
783,ccrdfconst_16381-16400.ttl,273,14,173,7
784,ccrdfconst_16401-16420.ttl,272,15,84,3
785,ccrdfconst_16421-16440.ttl,277,17,75,3
786,ccrdfconst_16441-16460.ttl,284,20,89,3
787,ccrdfconst_16481-16500.ttl,362,19,160,5
788,ccrdfconst_16501-16520.ttl,343,16,131,4
789,ccrdfconst_16521-16540.ttl,306,15,136,4
790,ccrdfconst_16541-16560.ttl,279,13,0,0
791,ccrdfconst_16561-16580.ttl,327,16,119,2
792,ccrdfconst_16581-16600.ttl,371,18,195,8
793,ccrdfconst_16601-16620.ttl,339,14,208,6
794,ccrdfconst_16621-16640.ttl,303,16,161,6
795,ccrdfconst_16641-16660.ttl,305,20,119,4
796,ccrdfconst_16661-16680.ttl,227,14,77,4
797,ccrdfconst_16681-16700.ttl,237,8,94,3
798,ccrdfconst_16701-16720.ttl,303,7,187,5
799,ccrdfconst_16721-16740.ttl,311,17,186,7
800,ccrdfconst_16741-16760.ttl,421,17,355,14
801,ccrdfconst_16761-16780.ttl,332,20,92,2
802,ccrdfconst_16781-16800.ttl,307,17,169,6
803,ccrdfconst_16801-16820.ttl,319,17,80,1
804,ccrdfconst_16821-16840.ttl,334,15,111,2
805,ccrdfconst_16841-16860.ttl,361,18,178,6
806,ccrdfconst_16861-16880.ttl,379,20,129,2
807,ccrdfconst_16881-16900.ttl,353,18,182,5
808,ccrdfconst_16901-16920.ttl,280,17,0,0
809,ccrdfconst_16921-16940.ttl,190,8,0,0
810,ccrdfconst_16941-16960.ttl,306,12,99,2
811,ccrdfconst_16961-16980.ttl,278,16,66,1
812,ccrdfconst_16981-17000.ttl,341,16,106,2
813,ccrdfconst_17001-17020.ttl,356,17,142,2
814,ccrdfconst_17021-17040.ttl,302,18,98,3
815,ccrdfconst_17041-17060.ttl,308,17,97,2
816,ccrdfconst_17061-17080.ttl,292,14,41,1
817,ccrdfconst_17081-17100.ttl,371,17,57,1
818,ccrdfconst_17101-17120.ttl,365,15,115,2
819,ccrdfconst_17121-17140.ttl,268,14,66,1
820,ccrdfconst_17141-17160.ttl,293,16,46,1
821,ccrdfconst_17161-17180.ttl,268,17,76,2
822,ccrdfconst_17181-17200.ttl,361,16,160,4
823,ccrdfconst_17201-17220.ttl,320,19,70,1
824,ccrdfconst_17221-17240.ttl,339,16,98,2
825,ccrdfconst_17241-17260.ttl,207,8,0,0
826,ccrdfconst_17261-17280.ttl,253,15,99,4
827,ccrdfconst_17281-17300.ttl,297,19,110,3
828,ccrdfconst_17301-17320.ttl,313,17,104,2
829,ccrdfconst_17341-17360.ttl,274,16,124,4
830,ccrdfconst_17361-17380.ttl,267,12,82,1
831,ccrdfconst_17421-17440.ttl,320,13,93,4
832,ccrdfconst_17441-17460.ttl,290,17,58,1
833,ccrdfconst_17461-17480.ttl,300,15,75,2
834,ccrdfconst_17481-17500.ttl,266,15,120,4
835,ccrdfconst_17521-17540.ttl,262,12,96,2
836,ccrdfconst_17541-17560.ttl,224,12,89,3
837,ccrdfconst_17561-17580.ttl,284,16,93,2
838,ccrdfconst_17581-17600.ttl,343,19,141,4
839,ccrdfconst_17601-17620.ttl,410,16,190,4
840,ccrdfconst_17621-17640.ttl,268,2,0,0
841,ccrdfconst_17641-17660.ttl,218,2,0,0
842,ccrdfconst_17661-17680.ttl,254,4,0,0
843,ccrdfconst_17681-17700.ttl,204,5,0,0
844,ccrdfconst_17701-17720.ttl,274,18,72,2
845,ccrdfconst_17721-17740.ttl,412,18,141,3
846,ccrdfconst_17741-17760.ttl,343,18,103,2
847,ccrdfconst_17761-17780.ttl,321,16,102,1
848,ccrdfconst_17781-17800.ttl,357,19,89,3
849,ccrdfconst_17801-17820.ttl,306,18,65,2
850,ccrdfconst_17821-17840.ttl,334,18,55,1
851,ccrdfconst_17841-17860.ttl,342,17,71,1
852,ccrdfconst_17861-17880.ttl,323,20,98,2
853,ccrdfconst_17881-17900.ttl,322,14,126,4
854,ccrdfconst_17901-17920.ttl,348,18,151,3
855,ccrdfconst_17921-17940.ttl,305,18,100,2
856,ccrdfconst_17941-17960.ttl,401,18,73,1
857,ccrdfconst_17981-18000.ttl,287,15,91,2
858,ccrdfconst_18001-18020.ttl,368,20,113,1
859,ccrdfconst_18041-18060.ttl,361,18,180,4
860,ccrdfconst_18061-18080.ttl,301,14,67,1
861,ccrdfconst_18101-18120.ttl,287,18,63,1
862,ccrdfconst_18121-18140.ttl,346,19,109,2
863,ccrdfconst_18141-18160.ttl,337,17,116,2
864,ccrdfconst_18161-18180.ttl,274,16,79,2
865,ccrdfconst_18181-18200.ttl,239,10,40,1
866,ccrdfconst_18201-18220.ttl,355,19,167,6
867,ccrdfconst_18221-18240.ttl,306,16,0,0
868,ccrdfconst_18241-18260.ttl,275,18,69,1
869,ccrdfconst_18261-18280.ttl,301,15,63,2
870,ccrdfconst_18281-18300.ttl,317,18,62,1
871,ccrdfconst_18301-18320.ttl,285,19,0,0
872,ccrdfconst_18321-18340.ttl,349,18,145,3
873,ccrdfconst_18341-18360.ttl,289,18,93,3
874,ccrdfconst_18361-18380.ttl,336,15,106,2
875,ccrdfconst_18381-18400.ttl,371,18,89,1
876,ccrdfconst_18401-18420.ttl,318,18,65,2
877,ccrdfconst_18421-18440.ttl,303,19,75,1
878,ccrdfconst_18441-18460.ttl,302,15,92,3
879,ccrdfconst_18461-18480.ttl,304,16,103,2
880,ccrdfconst_18481-18500.ttl,314,15,108,3
881,ccrdfconst_18501-18520.ttl,380,17,115,2
882,ccrdfconst_18521-18540.ttl,430,18,147,3
883,ccrdfconst_18541-18560.ttl,290,13,119,5
884,ccrdfconst_18561-18580.ttl,358,17,206,7
885,ccrdfconst_18581-18600.ttl,341,20,84,2
886,ccrdfconst_18601-18620.ttl,336,20,110,4
887,ccrdfconst_18641-18660.ttl,254,17,84,2
888,ccrdfconst_18681-18700.ttl,282,15,74,2
889,ccrdfconst_18701-18720.ttl,548,19,484,16
890,ccrdfconst_18741-18760.ttl,396,13,256,7
891,ccrdfconst_18761-18780.ttl,183,4,55,1
892,ccrdfconst_18781-18800.ttl,158,3,0,0
893,ccrdfconst_18801-18820.ttl,172,5,17,1
894,ccrdfconst_18821-18840.ttl,261,20,31,1
895,ccrdfconst_18841-18860.ttl,388,17,194,5
896,ccrdfconst_18861-18880.ttl,363,14,146,4
897,ccrdfconst_18881-18900.ttl,325,16,95,2
898,ccrdfconst_18901-18920.ttl,303,18,117,3
899,ccrdfconst_18921-18940.ttl,312,19,139,5
900,ccrdfconst_18941-18960.ttl,235,13,91,4
901,ccrdfconst_18961-18980.ttl,250,18,118,8
902,ccrdfconst_18981-19000.ttl,287,15,84,4
903,ccrdfconst_19021-19040.ttl,213,9,74,3
904,ccrdfconst_19041-19060.ttl,237,7,0,0
905,ccrdfconst_19061-19080.ttl,310,14,144,4
906,ccrdfconst_19081-19100.ttl,311,14,76,1
907,ccrdfconst_19101-19120.ttl,270,18,65,1
908,ccrdfconst_19121-19140.ttl,295,16,28,1
909,ccrdfconst_19141-19160.ttl,303,18,70,1
910,ccrdfconst_19161-19180.ttl,241,14,46,1
911,ccrdfconst_19181-19200.ttl,310,16,92,2
912,ccrdfconst_19201-19220.ttl,291,15,155,6
913,ccrdfconst_19221-19240.ttl,364,17,182,7
914,ccrdfconst_19241-19260.ttl,300,18,111,3
915,ccrdfconst_19261-19280.ttl,280,17,60,1
916,ccrdfconst_19281-19300.ttl,280,19,0,0
917,ccrdfconst_19301-19320.ttl,290,19,95,2
918,ccrdfconst_19321-19340.ttl,342,18,51,1
919,ccrdfconst_19341-19360.ttl,240,13,0,0
920,ccrdfconst_19361-19380.ttl,283,14,87,2
921,ccrdfconst_19381-19400.ttl,273,14,0,0
922,ccrdfconst_19401-19420.ttl,332,16,158,4
923,ccrdfconst_19421-19440.ttl,298,17,62,1
924,ccrdfconst_19441-19460.ttl,353,17,0,0
925,ccrdfconst_19461-19480.ttl,367,20,95,2
926,ccrdfconst_19481-19500.ttl,311,16,144,3
927,ccrdfconst_19501-19520.ttl,366,16,60,1
928,ccrdfconst_19521-19540.ttl,319,17,152,4
929,ccrdfconst_19541-19560.ttl,245,15,0,0
930,ccrdfconst_19561-19580.ttl,294,14,113,3
931,ccrdfconst_19581-19600.ttl,313,16,118,4
932,ccrdfconst_19601-19620.ttl,321,17,141,4
933,ccrdfconst_19621-19640.ttl,349,18,142,3
934,ccrdfconst_19641-19660.ttl,297,19,120,4
935,ccrdfconst_19661-19680.ttl,251,18,0,0
936,ccrdfconst_19681-19700.ttl,321,15,163,5
937,ccrdfconst_19701-19720.ttl,347,19,155,5
938,ccrdfconst_19721-19740.ttl,284,17,106,3
939,ccrdfconst_19741-19760.ttl,342,18,181,4
940,ccrdfconst_19761-19780.ttl,282,17,0,0
941,ccrdfconst_19781-19800.ttl,283,14,118,2
942,ccrdfconst_19801-19820.ttl,243,15,0,0
943,ccrdfconst_19821-19840.ttl,333,17,136,3
944,ccrdfconst_19841-19860.ttl,286,18,107,3
945,ccrdfconst_19861-19880.ttl,315,14,106,2
946,ccrdfconst_19881-19900.ttl,232,14,25,1
947,ccrdfconst_19901-19920.ttl,291,17,72,2
948,ccrdfconst_19941-19960.ttl,327,16,101,2
949,ccrdfconst_19961-19980.ttl,354,19,86,2
950,ccrdfconst_20001-20020.ttl,389,20,97,1
951,ccrdfconst_20021-20040.ttl,366,19,127,2
952,ccrdfconst_20041-20060.ttl,311,17,0,0
953,ccrdfconst_20061-20080.ttl,308,18,99,2
954,ccrdfconst_20081-20100.ttl,326,14,87,1
955,ccrdfconst_20101-20120.ttl,317,19,91,2
956,ccrdfconst_20121-20140.ttl,341,14,129,3
957,ccrdfconst_20141-20160.ttl,235,9,22,1
958,ccrdfconst_20161-20180.ttl,235,14,26,1
959,ccrdfconst_20181-20200.ttl,289,15,85,2
960,ccrdfconst_20201-20220.ttl,269,14,96,2
961,ccrdfconst_20221-20240.ttl,182,7,43,1
962,ccrdfconst_20241-20260.ttl,216,12,0,0
963,ccrdfconst_20261-20280.ttl,357,18,168,4
964,ccrdfconst_20281-20300.ttl,349,18,145,4
965,ccrdfconst_20301-20320.ttl,319,17,164,5
966,ccrdfconst_20321-20340.ttl,277,14,82,2
967,ccrdfconst_20341-20360.ttl,286,17,67,1
968,ccrdfconst_20361-20380.ttl,216,7,74,2
969,ccrdfconst_20381-20400.ttl,141,6,15,1
970,ccrdfconst_20401-20420.ttl,354,15,88,2
971,ccrdfconst_20421-20440.ttl,298,16,126,4
972,ccrdfconst_20441-20460.ttl,339,17,66,1
973,ccrdfconst_20461-20480.ttl,316,20,101,2
974,ccrdfconst_20481-20500.ttl,211,13,43,1
975,ccrdfconst_20501-20520.ttl,267,17,92,2
976,ccrdfconst_20521-20540.ttl,258,18,0,0
977,ccrdfconst_20541-20560.ttl,279,13,85,2
978,ccrdfconst_20561-20580.ttl,296,19,73,1
979,ccrdfconst_20581-20600.ttl,313,20,104,3
980,ccrdfconst_20601-20620.ttl,307,16,64,1
981,ccrdfconst_20621-20640.ttl,447,20,190,4
982,ccrdfconst_20681-20700.ttl,144,5,0,0
983,ccrdfconst_20701-20720.ttl,126,1,0,0
984,ccrdfconst_20721-20740.ttl,223,4,52,2
985,ccrdfconst_20741-20760.ttl,296,17,121,5
986,ccrdfconst_20761-20780.ttl,260,16,89,3
987,ccrdfconst_20781-20800.ttl,422,19,62,2
988,ccrdfconst_20801-20820.ttl,306,18,170,10
989,ccrdfconst_20821-20840.ttl,409,17,118,2
990,ccrdfconst_20841-20860.ttl,305,18,124,4
991,ccrdfconst_20861-20880.ttl,352,19,113,2
992,ccrdfconst_20881-20900.ttl,334,17,68,1
993,ccrdfconst_20901-20920.ttl,250,16,58,3
994,ccrdfconst_20921-20940.ttl,318,13,151,3
