 "nmvw_actor1" , "nmvw_actor2" , "nmvw_object" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23682" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23682" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23682" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23682" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23684" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23688" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23690" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23690" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23690" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23690" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23692" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23692" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23694" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23694" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23694" ,
 "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23694" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23696" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23696" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/23696" ,
 "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23696" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi7008" , "https://hdl.handle.net/20.500.11840/23698" ,
 "https://hdl.handle.net/20.500.11840/pi3046" , "https://hdl.handle.net/20.500.11840/pi44097" , "https://hdl.handle.net/20.500.11840/23698" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286142" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286143" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286143" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286144" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286144" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286145" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286145" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286146" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286147" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286147" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286148" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286149" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286150" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286151" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286151" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286153" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286154" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286154" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286163" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286163" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286164" ,
 "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/286165" ,
 "https://hdl.handle.net/20.500.11840/pi1054" , "https://hdl.handle.net/20.500.11840/pi900" , "https://hdl.handle.net/20.500.11840/286165" ,
