 nmvw_obj,nmvw_prod_place,nmvw_actor,b_time,e_time,
 "https://hdl.handle.net/20.500.11840/181117" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181118" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181119" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181120" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181121" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181122" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181123" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181124" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181125" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181126" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181127" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181128" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181129" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181130" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181131" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181132" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181133" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181134" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181135" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181136" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
 "https://hdl.handle.net/20.500.11840/181137" , "https://hdl.handle.net/20.500.11840/termmaster15565" , "https://hdl.handle.net/20.500.11840/pi3072" , "10000001933" , "10000001959" ,
