histevet_name,histevet_btime,histevet_etime,nmvw_obj
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460118
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12040
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12040
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12057
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12057
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12050
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12050
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460057
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460057
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460247
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460247
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12049
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12049
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43848
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43848
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460275
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460275
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460267
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460267
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460266
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460266
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460002
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460002
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459945
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459945
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460262
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460262
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43856
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43856
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459934
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459934
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/216214
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/216214
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460264
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460264
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460243
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460243
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459984
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459984
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/216212
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/216212
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460092
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460092
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460081
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460081
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460127
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460127
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460137
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460137
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12052
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12052
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460084
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460084
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459995
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459995
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459932
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459932
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460071
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460071
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43854
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43854
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460091
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460091
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460123
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460123
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43860
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43860
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460023
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460023
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459970
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459970
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460139
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460139
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460065
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460065
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459954
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459954
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460070
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460070
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460242
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460242
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12038
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12038
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459937
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459937
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460265
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460265
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460051
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460051
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12035
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12035
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/218190
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/218190
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12059
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12059
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459928
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459928
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460259
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460259
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460085
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460085
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459964
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459964
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459950
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459950
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459930
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459930
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460025
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460025
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459998
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459998
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459957
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459957
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459940
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459940
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43855
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43855
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460235
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460235
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460116
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460116
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459941
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459941
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460066
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460066
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459956
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459956
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43859
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43859
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460128
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460128
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460047
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460047
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459985
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459985
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459981
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459981
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460054
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460054
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43869
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43869
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460274
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460274
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460129
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460129
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460004
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460004
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459939
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459939
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460035
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460035
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43857
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43857
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459936
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459936
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460049
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460049
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460097
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460097
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12036
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12036
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460018
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460018
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460131
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460131
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/12056
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/12056
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460041
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460041
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459938
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459938
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459975
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459975
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43862
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43862
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43863
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43863
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459965
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459965
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460269
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460269
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460001
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460001
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460058
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460058
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460124
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460124
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460260
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460260
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43851
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43851
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459942
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459942
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459952
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459952
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43850
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43850
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460094
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460094
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460236
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460236
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460037
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460037
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460062
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460062
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459976
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459976
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460064
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460064
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460040
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460040
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459953
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459953
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459951
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459951
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460261
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460261
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459982
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459982
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/43933
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/43933
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460098
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460098
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460038
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460038
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460067
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460067
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460234
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460234
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460268
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460268
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460244
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460244
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460046
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460046
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460279
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460279
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/459983
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/459983
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460012
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460012
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460119
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460119
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460283
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460283
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/460053
Mimika expedition (1935-1936),1935,1936,https://hdl.handle.net/20.500.11840/460053
Mimika Expeditie,1935,1936,https://hdl.handle.net/20.500.11840/69670
