 "n" , "nmvw_actor" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi116" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1160" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi1161" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1163" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1164" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi1165" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1166" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1168" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1169" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi117" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1171" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1173" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1174" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1175" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1176" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1177" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1178" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi118" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1180" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1181" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1184" ,
 "70" , "https://hdl.handle.net/20.500.11840/pi1185" ,
 "47" , "https://hdl.handle.net/20.500.11840/pi1187" ,
 "11" , "https://hdl.handle.net/20.500.11840/pi1188" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi1189" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi119" ,
 "47" , "https://hdl.handle.net/20.500.11840/pi1190" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1191" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1192" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1193" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1194" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1195" ,
 "21" , "https://hdl.handle.net/20.500.11840/pi1197" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi12" ,
 "31" , "https://hdl.handle.net/20.500.11840/pi1200" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1201" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1203" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1204" ,
 "36" , "https://hdl.handle.net/20.500.11840/pi1206" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1207" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1208" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi1209" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi121" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1210" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1211" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1212" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1214" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1215" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1216" ,
 "128" , "https://hdl.handle.net/20.500.11840/pi1219" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1220" ,
 "36" , "https://hdl.handle.net/20.500.11840/pi1221" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1222" ,
 "314" , "https://hdl.handle.net/20.500.11840/pi1223" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1224" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1225" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1226" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1228" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi1232" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1234" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1235" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1236" ,
 "83" , "https://hdl.handle.net/20.500.11840/pi1240" ,
 "579" , "https://hdl.handle.net/20.500.11840/pi1241" ,
 "49" , "https://hdl.handle.net/20.500.11840/pi1243" ,
 "39" , "https://hdl.handle.net/20.500.11840/pi1246" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1247" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1248" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1249" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi125" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1250" ,
 "20" , "https://hdl.handle.net/20.500.11840/pi1251" ,
